"ent30_node75","ent30_node113","ent30_node174","ent30_node86","ent30_node145","ent30_node99","ent30_node232","ent30_node1","ent30_node7","ent30_node21","ent30_node25","ent30_node34","ent30_node469","ent7_node75","ent7_node113","ent7_node174","ent7_node86","ent7_node145","ent7_node99","ent7_node232","ent7_node1","ent7_node7","ent7_node21","ent7_node25","ent7_node34","ent7_node469","entrainment_scale"
100,99.9750022888184,99.9999985653674,99.7249984741211,99.7749977111816,87.987999420166,64.3690001678467,90.8820011138916,93.5720006561279,85.5959999084473,90.5240005493164,75.2329997253418,7.36699996948242,100,99.9750022888184,99.9999985694885,98.9249992370605,99.025001525879,71.8749980926514,33.3999996185303,58.5750000476837,68.1250009536744,0.100000003352761,11.9499998092651,3.30000007152557,0.274999998509884,"11"
100,100,100.000002861023,99.7749977111816,99.8250007629395,87.7079992675781,63.8519998168945,91.0210005187988,92.7129988861084,84.2489997863769,90.8140000915527,74.8129999542236,7.84599985122681,100,100,100.000002861023,98.849998474121,99.2749977111816,73.5250015258789,33.7250003814697,58.5500006675721,67.9999990463256,0.12500000372529,11.4499998092651,3.44999992847442,0.5,"11"
100,100,100.00000191147,99.8999977111816,99.7249984741211,89.997999420166,69.478999710083,92.6500000762939,94.3160012054443,88.3830006408691,93.4569990539551,82.2170000484473,10.4999999332428,100,100,100.000001907349,99.2999992370605,99.25,75.224998474121,40.375,59.2250008583069,68.7499990463256,0.600000008940696,18.6500005722046,6.32500004768372,0.75,"13"
100,99.9500007629395,100.00000191147,99.9749984741211,99.9249992370605,92.7920013427734,72.297999420166,94.4219989776611,95.4039979553223,91.3690003204346,95.4550003005176,87.9670001983643,14.5290000343323,100,99.9249992370605,100.000001907349,99.8000030517578,99.5749969482422,79.8250007629395,46.0749988555908,59.7750015258789,69.1249980926514,2.55000007152557,26.9000005722046,10.1749999523163,1.29999998211861,"13"
100,99.9749984741211,99.9999961853027,99.9749984741211,99.9499988514697,94.224001083374,77.5620004253418,95.2339987182617,97.096001663208,93.0469995117188,97.1000006103516,91.7890003204346,19.6090000152588,100,99.9749984741211,99.9999961853027,99.8250007629394,99.7250022888183,82.75,51.2749977111816,60.4249982833862,69.5500011444092,7.47500014305115,34.1000003814697,14.7000002861023,1.82499992847442,"13"
100,99.9999999958789,100,99.9749984741211,99.9250030517578,94.8369995880127,82.1849996948242,96.4859992980957,97.6409994479297,94.3460004451758,97.9809996795654,94.2440007781982,24.6579998970032,100,100,100,99.9000015258789,99.7749977111816,83.9750003814697,56.6749992370605,61.2250003814697,69.9999980926514,14.4500002861023,38.3999996185302,20.3500003814697,2.67500001192093,"13"
100,100,100.000003814697,99.8999977111816,99.9999980885303,95.4700000762939,84.6959991474121,96.7949990844727,97.8619999694824,94.8649999237061,98.6170014190674,95.468999710083,30.4980002212524,100,100,100.000003814697,99.7999992370605,99.4750022888183,85.1999988555908,59.5000019073486,61.524998664856,70.4000015258789,20.3249998092651,43,25.5500001907349,3.97500014305115,"13"
99.9500007629395,99.9000015258789,99.9999984461581,99.1999969482422,99.6039987182617,80.6190013156934,53.3039994812012,89.8129986610352,89.4910003662109,77.081000213623,80.4719996643067,67.6349997711182,5.50900003433228,99.8250007629395,99.8250007629395,99.9999984502792,96.6500015258789,97.2999992370606,59.150001525879,16.4749999046326,63.875,61.675001502037,0,2.24999994039535,0.549999997019768,0.200000006705522,"11"
99.9749984741211,99.9000015258789,99.9250011485303,95,98.25,53.8630004119873,28.73600025177,76.7830005645752,76.8449996948242,45.66600025177,43.2179997253418,28.0459998703003,1.17500001192093,99.9250030517578,99.4750022888184,99.9250011444092,87.0749988555908,35.5,10.8000001907349,1.125,60.2000007629395,59.8999984264374,0,0,0,0,"7"
99.9249992370605,99.9000015258789,100.000001434633,99.2750015258789,99.2300018310547,74.712999420166,47.8049996948242,86.4510008621216,87.5890009307861,69.5879992675781,72.6580000305176,55.6830001068115,3.10599997997284,99.7999992370606,99.9000015258789,100.000001430511,96.0999984741211,93.2999992370606,48.3000011444092,10.6499996185303,62.8499984741211,61.8750015497208,0,0.300000004470348,0.200000002980232,0.100000001490116,"10"
99.9500007629395,100,99.9999969005585,99.2600006103516,99.875,85.6280010986328,63.1330001831055,92.7859987224536,92.3759999847412,83.5289994812012,87.6950006103516,78.1549981689453,8.18299991607666,99.8499984741211,100,99.9999969005585,95.9749984741211,98.8499984741211,68.3999996185302,27.4250001907349,64.7750000059605,63.1750007867814,0,10.7250003814697,1.375,0.649999976158142,"11"
99.9750022888184,99.9750022888184,100.00000191147,99.7869984436035,99.8999977111816,91.4930010986328,73.1199998474121,96.1319995089648,96.2260000610352,91.0110006713867,94.7959999084473,91.0670002746582,16.8020000457764,99.9249992370605,99.9750022888184,100.000001907349,99.25,99.75,77.7250022888184,42.875,66.6500015258789,64.6250014305115,0.474999994039536,27.2499990463256,6.82500004768372,1.44999998807907,"13"
100,99.9999961853027,100.000002861023,99.9249992370605,99.8999977111816,94.5810009765625,83.0019995880127,97.9609982258594,97.7640010840576,95.5580010223389,97.8929997253418,95.4090009307861,30.6689996337891,100,99.9999961853027,100.000002861023,99.875,99.8500022888183,85.3249988555908,54.5250015258789,68.0250015258789,66.0749993324279,2.52500003576279,43.5500001907348,16.5250000953675,3.22500002384186,"13"
99.9999999958789,100.000003814697,100.000003814697,99.9750022888184,100.000003814697,96.1659986877441,88.6139994831055,98.8049977158398,98.5819998931885,99.2319996643066,99.0700003051758,97.7250003814697,44.8840003585815,100,100.000003814697,100.000003814697,99.6250038146973,99.9249992370605,87.9749984741211,63.4499988555908,69.5000009536744,66.9250011444092,3.85000002384186,53.9000005722046,28.9000000953674,4.50000011920929,"15"
100,99.9999980885303,100,99.2500019114697,99.97499847,85.1419997406006,32.3839998626709,78.8429989624023,78.8570004272461,57.6970009231567,52.7880003356934,28.0699996757507,0.100000001490116,100,99.9999980926514,100,95.3000011444092,99.3000030517578,75.5,19.8500003814697,55.7750015258789,57.1000003814698,18.7500004768371,9.875,3.07500010728836,0,"11"
100,99.9999980885303,100,99.1720021820068,99.0609990650928,50.1970007705688,12.9270000457764,66.1099997711182,66.0279988098144,31.2589998245239,22.9450003051758,10.4780000972748,0.025,99.900001525879,99.8999996185303,100,97.4000034332275,87.9249973297119,27.7000002861023,2.07499998807907,54.8999996185302,55.0750017166138,0.150000000372529,0.300000004470348,0.025000000372529,0,"9"
100,100.00000191147,100,99.6249980885303,99.7999992370605,76.2179995346069,24.0980002784729,72.9789980316162,74.7739988708496,47.2450005722046,42.238000869751,19.9069996643066,0.125000001490116,99.75,100.000001907349,100,97.6999988555908,98.7999973297119,63.2499990463256,11.4999997615814,55.2000007629395,55.5749988555908,9.52500009536743,4.24999994039535,0.875,0,"10"
100,100.00000191147,100,99.7830001068115,99.8999977070605,88.2429985046387,36.4409999465942,80.4210003662109,80.66,61.5370001220703,58.311999130249,33.9569997024536,0.175000001,100,100.000001907349,100,98.4249992370605,99.3250007629395,78.9999990463256,24.1749999523163,56.5750007629395,58.2000007629394,22.2999997138977,13.1749995946884,4.60000002384186,0.12500000372529,"11"
99.9999961853027,100.000002861023,99.9999961853027,99.97499847,99.9249973297119,93.378998336792,49.7539994430542,85.5850006103516,85.2750015258789,71.1540003204346,68.9370000457764,45.0549995040894,0.190000000596046,99.9999961853027,100.000002861023,99.9999961853027,99.7749967575073,99.7250003814697,85.8249969482422,37.7250008583069,60.2000007629395,62.3999996185302,30.2249991893768,23.1750004291534,13.0499997138977,0.150000005960464,"11"
100.00000191147,100.00000191147,100,100,99.9750013392651,95.2749986607349,59.6120004272461,89.6500015258789,88.9929995727539,78.6819994735718,77.9249982792651,56.1980001068115,0.374999989079071,100.000001907349,100.000001907349,100,99.9749984741211,99.7500028610229,88.6750011444092,47.6999998092651,64.275001525879,64.900001525879,35.5000004768371,33.1999993324279,20.5500006675721,0.350000001490116,"11"
100,99.9999980885303,99.9999980885303,99.9999980885303,99.9899974822998,95.427998046875,60.7670010375977,89.2249984741211,89.375,77.90000153,77.8300011444092,55.68100098,0.449999988079071,100,99.9999980926514,99.9999980926514,99.9749965667725,99.5250015258789,89.2499971389771,49.6750006675721,63.6999988555908,65,34.9250001907349,34.0250005722046,20.7749996185303,0.500000014901161,"11"
100.00000191147,100.00000191147,100.000002861023,99.4139987182617,99.4750022929395,73.7749999237061,30.4890003585815,77.9059997558594,77.6280002593994,48.7730002593994,47.8789994812012,26.8359996414185,0.15,99.8500022888183,99.9249973297119,100.000002861023,97.1750011444092,94.125,45.8000011444092,5.52500009536743,55.1500015258789,55.0499982833862,0,0.100000003352761,0.100000001490116,0,"9"
99.9500007670605,99.9999961853027,100.00000191147,96.4789981110352,96.9500004577637,40.3379999542236,13.4640002346039,64.8150009155273,65.1830002593994,21.2140004444122,20.8420001411438,10.3900000476837,0.050000001,99.5250015258789,99.7749977111817,100.000001907349,87.0499973297119,15.875,3.30000001192093,0,54.8249998092651,54.6999998092651,0,0,0,0,"6"
100,99.9499969482422,100.00000191147,99.3569982910156,99.5449989318848,72.0080001831055,28.7739999389648,77.3539991760254,76.8679991912842,46.3970000839233,47.0229999923706,26.3449996566772,0.075000001,99.8999977111817,99.8500003814697,100.000001907349,96.7500019073486,92.8249969482422,42.2999992370605,4.50000011920929,55.0250015258789,55.0250005722046,0,0,0.0500000007450581,0,"9"
99.9999961853027,99.9750022888184,99.9999980885303,99.039998626709,99.9250030517578,86.5799996185303,42.5310000610352,85.5439990234375,86.16,67.9260007503516,68.4290007019043,42.8759999465942,0.25000000745058,99.9499969482422,99.9750022888183,99.9999980926514,96.0250034332275,99.2749977111816,70.6250019073486,19.8500003814698,55.3500003814697,55.0500001907349,2.87500005960465,6.60000014305115,1.00000001490116,0.25,"11"
99.9999999958789,99.9999961853027,100,99.8009992980957,99.9249992370605,95.2050002262109,57.2059999465942,92.1530001831055,91.9110003662109,82.4089990997314,81.531999130249,61.0980001449585,0.449999988079071,100,99.9999961853027,100,98.8250007629395,99.7250003814697,84.7749977111817,36.0999999046326,55.7250003814697,56.5249996185303,10.2499995231628,18.0499997138977,6.299999833107,0.550000011920928,"11"
100.000003814697,100,100.000000004121,99.7999973297119,99.9250011485303,94.7949996948242,56.7379992294312,92.4610011291504,91.4119996689649,81.2700000762939,81.0970002746582,59.2300000716357,0.500000014920929,100.000003814697,100,100,99.0249977111817,99.6999988555908,84.1000003814697,36.2750005722046,55.7999982833862,56.2749996185303,9.19999992847443,18.5749998092651,5.39999979734421,0.525000005960464,"11"
100.000003814697,100,100,99.7650016825879,99.9750022929395,90.3330005645752,47.3379996871948,87.7429985046387,86.9369995117188,70.5479998779297,71.5899993896484,47.3349995040894,0.275,100.000003814697,100,100,97.475001335144,99.4999980926514,76.475001335144,25.5499992370605,55.4250011444092,55.3000011444092,3.52499997615814,10.6999998092651,1.12499995529651,0.274999994784594,"11"
99.4500007629395,99.6249961853027,99.8500022888184,95.3009999847412,95.7820026397705,38.6720006370544,13.4100001716614,64.41,66.3619987487793,24.4250001525879,24.3030001068115,11.3540000152588,0.175000005960464,99.4500007629395,99.1249961853027,99.8500022888183,86,35.0000009536744,5.55000019073486,0.12500000372529,54.3750009536744,54.6750011444092,0,0,0,0,"7"
99.3200004577637,91.4320028924942,99.8500022888184,33.1579995155334,34.9860005480927,0.606000009198883,0.365999997854233,54.5899997711182,55.1079998779297,1.10500002445767,1.17299999266863,0.215999997258186,0,97.9750022888183,42.5999992378056,99.5499992370606,1.02499997615814,0,0,0,50.6749992370605,51.1749992370605,0,0,0,0,"4"
99.8250007629395,99.7250003814697,99.8999977070605,94.7870004272461,94.242001953125,34.9960003757477,11.336999745369,63.9609999084473,64.4410012817383,20.2470003318787,21.9959998512268,9.53199997901917,0.150000005960464,99.8250007629394,99.2000007629395,99.8999977111816,82.775001525879,22.6749999523163,2.52500005066395,0.0750000029802322,54.3000011444092,54.649998664856,0,0,0,0,"6"
99.5,99.9249992370605,99.9250030558789,97.7630016326904,97.4539989471436,52.1820003891758,18.7379998016357,67.9000006103516,70.9970002746582,34.0690000343323,34.0690000724793,17.8280001068115,0.200000002980232,99.5,99.8999977111816,99.9250030517578,91.7499980926514,71.4499988555908,22.0499992370605,1.02499997615814,54.4999990463256,54.8750019073486,0,0,0.025000000372529,0,"7"
99.8250007629395,99.8250007629395,99.9750022929395,97.7590006256103,97.7409992218017,54.5190003967285,21.7889996337891,69.9990006256103,72.2459993743897,36.3740002250671,37.4880002593994,19.036999912262,0.350000012920929,99.7999992370605,99.7999992370606,99.9750022888184,92.2999992370605,77.7999992370605,27.875,1.82500004768372,54.6249980926514,54.9500007629394,0,0,0,0,"9"
99.7250022888184,99.7999954223633,99.9999961853027,97.7469988216357,97.19799957,54.2689995579297,21.2870000362396,69.3979991149902,71.997000579834,35.0440001296997,38.4210000419617,20.7049997138977,0.326000005155802,99.7000007629395,99.7250022888184,99.9999961853027,92.3999996185303,78.0249977111816,27.7249994277954,1.42500004172326,54.5,54.9750003814698,0,0,0,0,"9"
99.5,99.97499847,100,97.5959979248047,97.8220016479492,54.4439990997314,21.4260004138947,68.3660008239746,72.242000579834,36.429999923706,37.8649996948242,20.0449999809265,0.300000001,99.5,99.9499969482422,100,92.4250011444092,77.8250007629395,28.2750005722046,1.62500005960465,54.4249992370605,54.9750003814697,0,0,0,0,"9"
99.0499992370605,99.6500015258789,99.6499977111816,95.2549996948242,98.2180000305176,64.7139994049072,35.8950001525879,81.1250006103516,81.2970002746582,62.7200003814697,62.3400009918213,39.1939998245239,1.54900001041135,99.0499992370605,99.6500015258789,99.6499977111817,90.150001525879,94.25,47.9499988555908,12.4750003814697,54.7999982833862,54.5999984741211,0.0750000011175871,1.375,0.249999994412065,0.100000003352761,"9"
99.6499977111816,99.6749973297119,99.4249992370605,85.861001701355,94.0839967346191,33.3010003852844,13.293000164032,65.5230000305176,65.38700050354,23.6789999961853,24.9289998054504,12.5450000953291,0.476000007987022,99.6499977111816,97.7999992370605,99.4249992370605,67.0500011444092,12.0000003576278,2.02500005066395,0.0750000029802322,53.7749996185302,53.7499980926514,0,0,0,0,"6"
99.4000015258789,99.9249992370605,99.4249992370605,94.693000950166,97.8469966125488,57.9860009765625,31.5409998321533,77.9520001220703,76.4850007629394,53.5360001373291,53.5659996842236,32.0090002441406,0.986999996821487,99.4000015258789,99.8999977111816,99.4249992370605,89.5999965667725,87.0749988555908,37.3249998092652,7.27500009536743,54.7750005722046,54.475001335144,0,0.225000003352761,0.150000002235174,0,"9"
99.25,99.8000011485303,99.8250007629395,96.0049983978272,98.625,68.4100004577637,39.6339999389648,83.2559994506836,84.1580003356934,66.04,66.8730004882812,44.793999671936,1.98600001335144,99.25,99.7499980926514,99.7999992370605,92.0750007629395,95.9249992370605,52.5749988555908,16.0749998092651,54.8499994277954,54.5499982833862,0.550000011920928,2.625,0.700000002980232,0.0500000007450581,"10"
99.25,99.9250011485303,99.9250030558789,96.637997890166,98.7009970092773,70.6320000457764,43.0250003814697,85.5960003662109,85.7359995986133,71.1059999847412,72.1070004272461,48.6980007553101,2.43999999769489,99.25,99.8999996185303,99.9250030517578,93.3999996185303,96.5250015258789,55.8999996185303,20.0500001907349,54.9999980926514,54.7249994277954,1.30000001192093,4.29999989271164,1.32500001788139,0.125000001862645,"10"
99.25,99.7749977070605,99.9249992329395,96.8239971923828,98.9280012512207,69.9619996643066,43.6310000991821,85.7720004272461,86.4449995422363,70.5080009460449,71.2139994049072,48.5540002013354,2.57400004863739,99.25,99.7499961853027,99.9249992370606,93.4249973297119,97.0250015258789,55.1749982833862,20.8000001907349,54.9749984741211,54.7250003814697,1.20000001788139,4.02499997615814,1.2999999821186,0.100000003352761,"10"
99.2249984741211,99.875,99.9500007629395,96.5649982452393,98.8190003967285,70.7930001831055,43.2909998676294,85.5159994525879,86.128999786377,71.2500003814697,70.1820007324219,49.0059999847412,2.01499999753674,99.2249984741211,99.875,99.9500007629395,93.2000007629394,96.5,56.625,20.5499997138977,55.0249996185302,54.7499990463256,1.34999999403954,3.92500001192093,1.22499999403954,0.12500000372529,"10"
99.7249984741211,99.75,100,97.8089991760254,99.0359983825684,68.4049996185303,43.5790000915527,82.2770000457764,82.0259990692139,67.7700002288818,67.6410008239746,47.5590001678467,3.23599995136261,99.7000007629394,99.75,100,93.5249977111816,96.6999969482422,48.3249988555908,14.25,51.2750000953674,51.7999985218048,0.325000002980232,1.75,0.424999997019768,0.125000001862645,"10"
99.3500022888184,98.9500007629395,100,91.086000213623,94.6239999389649,35.4659999084473,17.9220000648499,63.9800001716614,65.3000005531311,29.4010001754761,26.8359996414185,15.3379999732971,0.62799999833107,99.275001525879,98.8499984741211,100,78.5,12.5750002861023,2.95000004768372,0.200000002980232,49.9750007390976,51.0750014781952,0,0,0,0,"6"
99.3499984741211,99.3249969441211,100.000003099442,97.5650001525879,98.4650003044922,62.7930007171631,36.3109997558594,78.1880004882812,78.3840005493164,59.2530001068115,58.2209999084473,37.5539998626709,2.11200001716614,99.3249969482422,99.3249969482422,100.000003099442,94.0499992370606,90.9500007629395,36.625,7.22500014305115,51.125,51.6000015735626,0,0.274999994784594,0.274999994784594,0.0500000007450581,"9"
99.7249984741211,99.9249992370605,100,98.042000579834,99.3300021362305,70.1789994812012,44.0770007324219,83.6029998016357,82.5850009155273,69.1390003948242,68.9500001525879,50.1950003051758,3.74099992752075,99.7000007629395,99.9249992370606,100,92.9000015258789,97.3250007629395,49.7999992370605,15.25,51.2250015735626,51.8250014781952,0.349999994039536,2.67499995231628,0.575000017881393,0.100000003352761,"10"
99.8250007629395,99.9000015258789,100,98.1179991149902,99.2630007934571,70.8410005187988,43.388000869751,83.8419998168945,82.5569995117187,69.2049996948242,70.1179998779297,51.3339998626709,3.89199993133545,99.8250007629395,99.900001525879,100,93,97.4000015258789,51.4249992370605,14.5749998092651,51.3750007152558,51.9500000476837,0.474999994039536,2.64999997615814,0.525000005960465,0.050000000745058,"10"
99.8250007629395,99.8499984741211,100,97.5750022875977,99.3849987792969,71.6259994506836,43.0369997406006,83.7659996795654,82.9520001220703,70.401000366211,70.4580001831055,50.1859999847412,3.8500000667572,99.8250007629395,99.849998474121,100,92.2000007629395,97.3250007629394,51.6499996185303,15.2249999046326,51.3750007152558,51.9750008583069,0.450000002980232,2.70000004768372,0.724999994039535,0.0500000007450581,"10"
99.8250007629395,99.875,100,98.125,99.0380001831055,70.5739990234375,45.2290005493164,83.4859997558594,83.2179996490478,69.5409993743897,69.4379991149902,49.4890003204346,3.60499997138977,99.8250007629395,99.875,100,92.7749977111816,97.1000022888184,51.2250003814698,14.9499998092651,51.3499999046326,51.9750015735626,0.399999991059304,2.64999997615814,0.700000002980232,0.100000001490116,"10"
100,99.9750022888184,100.000001434633,99.9249992370605,99.9249992370605,87.3290002441406,54.9089996337891,92.123000869751,91.6139999389649,79.9209994506836,80.4460005187988,60.6499996185303,1.65000003584186,100,99.9500007629394,100.000001430511,99.525001525879,99.3999977111816,77.7250003814698,38.8249988555908,67.9749994277954,66.8499994277954,10.5,20.2749996185303,7.22499990463257,0.699999988079071,"11"
100,100,99.9999985653674,99.8709997558594,99.9749984741211,88.0790003967285,55.9400009155273,91.3939995574951,91.9109993743896,80.0120004225879,81.1279997253418,61.3450004577637,1.47499996415814,100,100,99.9999985694885,99.3250007629395,99.6500015258789,78.1000003814697,39.7250003814698,68.1999998092651,67.1500000953674,10.4749999046326,20.3000001907348,6.67499995231629,0.574999988079071,"11"
100,100,99.9999971389771,99.9250030517578,99.9749984741211,90.0580009448242,61.1090008544922,94.2999989318848,93.5529987335205,84.5479992675781,85.7000004577637,67.5340000915527,1.89600003965655,100,100,99.9999971389771,99.5249977111816,99.599998474121,80.5749988555908,45.1999988555908,69.1750001907349,67.5499992370605,13.9499998092651,26.0500001907348,11.7000002861023,1.07499998807907,"13"
100,100,100,99.9750022888184,99.9749984741211,91.8179991149902,64.8159992980957,95.096999130249,94.7450010715527,89.2000002288818,89.1549990844727,73.9410011291504,2.54999995231628,100,100,100,99.75,99.6499977111816,82.8999996185303,50.9499988555908,70.1750011444092,68.3249988555908,18.5500001907349,31.6500005722046,16.9000000953674,1.27499997615814,"13"
99.9999961853027,100,99.9999980885303,99.8900009155274,99.8750000041211,92.7440001678467,69.1580001068115,96.1669984436035,95.7900026702881,91.4030004119873,91.9580003356934,79.5889996384473,3.59999990463257,99.9999961853027,100,99.9999980926514,99.5499992370605,99.4000015258789,84.6499996185303,55.224998474121,70.899998664856,69.100001335144,22.2750005722046,36.8249998092651,22.5000004768371,1.97500002384186,"13"
99.9999961853027,100.000003814697,99.9999961853027,99.9179988098145,99.9750022929395,94.9990007781983,71.4050003051758,97.0370004272461,96.9870015716553,94.0120001983642,94.8200010681152,82.8790006256103,4.16000005245209,99.9999961853027,100.000003814697,99.9999961853027,99.6749992370605,99.5249977111817,87.4249992370605,57.9250011444092,71.1999988555908,69.7500009536744,26.3250002861023,42.4749994277954,28.0250005722046,2.24999994039535,"13"
