Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:
2/17/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date 
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,,14 days of forecast data after forecast date
1/17/2026,3748,6938,2556,46228,200,1624,660,0,0,Measured,,
1/18/2026,3758,6929,2514,43162,199,1611,622,0,0,Measured,,
1/19/2026,3767,6930,2487,40755,200,1619,587,0,0,Measured,,
1/20/2026,5536,6905,2470,37898,199,1594,551,0,0,Measured,,
1/21/2026,5742,6905,2459,36328,199,1473,521,0,0,Measured,,
1/22/2026,5748,6912,2485,35340,157,1270,498,0,0,Measured,,
1/23/2026,5747,6912,2564,33742,104,1091,476,0,0,Measured,,
1/24/2026,5932,6904,2389,32348,105,912,458,0,0,Measured,,
1/25/2026,5744,6890,2248,30696,106,740,431,0,0,Measured,,
1/26/2026,5550,6885,2144,29120,106,554,405,0,0,Measured,,
1/27/2026,5549,6905,2065,26996,106,394,386,0,0,Measured,,
1/28/2026,5554,6916,1994,25081,106,359,371,0,0,Measured,,
1/29/2026,5352,6934,1958,23175,87,423,355,0,0,Measured,,
1/30/2026,5343,6952,1925,21512,53,442,339,0,0,Measured,,
1/31/2026,5337,6958,1923,22167,41,409,330,0,0,Measured,,
2/1/2026,593,4273,2010,28007,43,415,321,0,0,Measured,,
2/2/2026,589,1609,2184,33124,47,395,310,0,0,Measured,,
2/3/2026,593,1605,2309,33405,50,429,300,0,0,Measured,,
2/4/2026,5934,3220,2317,33240,45,427,276,0,0,Measured,,
2/5/2026,6938,3209,2263,32432,40,472,244,0,0,Measured,,
2/6/2026,6342,3219,2275,32600,37,351,238,0,0,Measured,,
2/7/2026,6335,3236,2311,32700,36,320,232,0,0,Measured,,
2/8/2026,5939,3761,2321,32180,42,315,226,0,0,Measured,,
2/9/2026,4955,3842,2348,31828,47,302,221,0,0,Measured,,
2/10/2026,3964,3848,2414,31912,41,327,226,0,0,Measured,,
2/11/2026,4953,3768,2516,32084,27,309,260,0,0,Measured,,
2/12/2026,7124,3854,2752,32372,21,303,306,0,0,Measured,,
2/13/2026,7923,3859,2882,33340,21,298,283,0,0,Measured,,
2/14/2026,4957,8342,2869,34604,21,298,263,0,0,Measured,,
2/15/2026,5139,8423,2851,33940,21,296,254,0,0,Measured,,
2/16/2026,5153,8451,3029,34056,34,378,1936,0,0,Measured,,
2/17/2026,8529,8331,3671,36277,34,378,2400,0,0,Forecasted,,
2/18/2026,9322,8331,5518,45525,34,378,2000,0,0,Forecasted,,
2/19/2026,11108,8331,7239,45666,34,378,1500,0,0,Forecasted,,
2/20/2026,12893,8331,6598,41835,34,378,1000,0,0,Forecasted,,
2/21/2026,12298,8331,6956,39529,34,378,500,0,0,Forecasted,,
2/22/2026,12496,8331,5500,37481,34,378,500,0,0,Forecasted,,
2/23/2026,11108,8331,5000,38779,34,378,500,0,0,Forecasted,,
2/24/2026,10513,8331,4500,57171,34,378,500,0,0,Forecasted,,
2/25/2026,10116,8331,4000,67039,34,378,500,0,0,Forecasted,,
2/26/2026,9521,8331,3500,66151,34,378,500,0,0,Forecasted,,
2/27/2026,9124,8331,3000,55000,34,378,500,0,0,Forecasted,,
2/28/2026,8529,8331,2500,50000,34,378,500,0,0,Forecasted,,
3/1/2026,7934,8331,2000,45000,34,378,500,0,0,Forecasted,,
3/2/2026,7537,8331,1500,40000,34,378,500,0,0,Forecasted,,
3/3/2026,7537,8331,1500,40000,34,378,500,0,0,Forecasted,,
3/4/2026,7537,8331,1500,40000,34,378,500,0,0,Forecasted,,
3/5/2026,7537,8331,1500,40000,34,378,500,0,0,Forecasted,,
3/6/2026,7537,8331,1500,40000,34,378,500,0,0,Forecasted,,
3/7/2026,7537,8331,1500,40000,34,378,500,0,0,Forecasted,,
3/8/2026,7537,8331,1500,40000,34,378,500,0,0,Forecasted,,
3/9/2026,7537,8331,1500,40000,34,378,500,0,0,Forecasted,,
3/10/2026,7537,8331,1500,40000,34,378,500,0,0,Forecasted,,
