,FPT,VNS,CCF,TPP
Date,cfs,cfs,cfs,cfs
3/23/2026,17545,3057,2498,4225
3/24/2026,16718,2683,3199,3493
3/25/2026,15678,2398,2899,3517
3/26/2026,14216,2186,2794,3525
3/27/2026,12670,2038,2597,3515
3/28/2026,11751,1974,2490,3522
3/29/2026,12261,1948,2385,3516
