Week,OMR Bins,CVP Exports (cfs),SWP Exports (cfs),Total Exports (cfs),CVP Exports (%),SWP Exports (%)
Week 1,"-6,500","3,904","3,749","7,653",51%,49%
Week 1,"-5,000","3,503","2,748","6,251",56%,44%
Week 1,"-3,500","3,045","1,789","4,834",63%,37%
Week 1,"-2,000","2,530","1,102","3,632",70%,30%
Week 2,"-6,500","4,208","1,002","5,210",81%,19%
Week 2,"-5,000","3,506",873,"4,379",80%,20%
Week 2,"-3,500","2,705",744,"3,449",78%,22%
Week 2,"-2,000","1,803",644,"2,447",74%,26%
Week 3,"-6,500","4,208",601,"4,809",88%,12%
Week 3,"-5,000","3,506",601,"4,107",85%,15%
Week 3,"-3,500","2,705",601,"3,306",82%,18%
Week 3,"-2,000","1,803",601,"2,404",75%,25%
