Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:
3/25/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date 
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,DCC,14 days of forecast data after forecast date
2/22/2026,10903,8380,8415,51392,696,279,918,0,0,Measured,0,
2/23/2026,10893,8374,8261,50640,701,281,830,0,0,Measured,0,
2/24/2026,10701,8399,8270,49428,703,281,823,0,0,Measured,0,
2/25/2026,10495,8437,8057,47908,577,299,1320,0,0,Measured,0,
2/26/2026,10295,8413,7762,51892,446,298,1979,0,0,Measured,0,
2/27/2026,9912,8409,7473,58456,343,299,2079,0,3106,Measured,0,
2/28/2026,9714,8428,7166,63664,296,332,2239,0,21886,Measured,0,
3/1/2026,9333,8434,6944,64696,297,289,2379,0,17424,Measured,0,
3/2/2026,8916,8425,6779,63016,248,338,2263,0,7377,Measured,0,
3/3/2026,8908,8418,6611,60568,204,317,1994,0,796,Measured,0,
3/4/2026,8707,8411,6389,57779,148,328,1744,0,0,Measured,0,
3/5/2026,8523,8372,6215,54132,99,359,1555,0,0,Measured,0,
3/6/2026,8329,8351,6106,50104,104,359,1365,0,0,Measured,0,
3/7/2026,8121,8367,5683,46516,105,352,1207,0,0,Measured,0,
3/8/2026,7409,8024,5345,43272,112,353,1108,0,0,Measured,0,
3/9/2026,7120,8399,5186,40656,114,357,1065,0,0,Measured,0,
3/10/2026,7321,8397,5019,39212,78,342,1011,0,0,Measured,0,
3/11/2026,6928,8361,4919,37076,54,342,949,0,0,Measured,0,
3/12/2026,6942,8353,4792,34136,50,331,881,0,0,Measured,0,
3/13/2026,6740,8370,4728,30884,54,335,839,0,0,Measured,0,
3/14/2026,6528,8378,4813,28720,60,330,800,0,0,Measured,0,
3/15/2026,6536,8359,4885,27508,63,294,755,0,0,Measured,0,
3/16/2026,6005,8343,4883,26652,58,236,723,0,0,Measured,0,
3/17/2026,6736,8358,4741,25584,63,226,708,0,0,Measured,0,
3/18/2026,6538,8343,4593,24200,58,227,651,0,0,Measured,0,
3/19/2026,585,1677,4214,22556,62,226,620,0,0,Measured,0,
3/20/2026,6130,8314,3852,21624,63,210,607,0,0,Measured,0,
3/21/2026,5729,8362,3562,20584,66,205,563,0,0,Measured,0,
3/22/2026,5351,8380,3325,19808,62,202,553,0,0,Measured,0,
3/23/2026,4954,8381,3057,19100,66,199,534,0,0,Measured,0,
3/24/2026,6346,6929,2683,18400,61,182,500,0,0,Measured,0,
3/25/2026,2579,6929,2420,17028,61,182,500,0,0,Forecasted,0,
3/26/2026,2182,6929,2218,15383,61,182,500,0,0,Forecasted,0,
3/27/2026,3570,5355,2068,14049,61,182,500,0,0,Forecasted,0,
3/28/2026,3372,5355,1959,13460,61,182,500,0,0,Forecasted,0,
3/29/2026,3372,5355,1894,13111,61,182,500,0,0,Forecasted,0,
3/30/2026,3372,5355,1894,12833,61,182,500,0,0,Forecasted,0,
3/31/2026,3174,5355,1894,12668,61,182,500,0,0,Forecasted,0,
4/1/2026,1190,5355,2000,12665,61,182,500,0,0,Forecasted,0,
4/2/2026,1190,5355,2000,12975,61,182,500,0,0,Forecasted,0,
4/3/2026,1190,5355,2000,13907,61,182,500,0,0,Forecasted,0,
4/4/2026,1190,5355,2000,13000,61,182,500,0,0,Forecasted,0,
4/5/2026,1190,5355,2000,12000,61,182,500,0,0,Forecasted,0,
4/6/2026,1190,5355,2000,11000,61,182,500,0,0,Forecasted,0,
4/7/2026,1190,5355,2000,10000,61,182,500,0,0,Forecasted,0,
4/8/2026,1190,5355,2000,10000,61,182,500,0,0,Forecasted,0,
4/9/2026,1190,5355,2000,10000,61,182,500,0,0,Forecasted,0,
4/10/2026,1190,5355,2000,10000,61,182,500,0,0,Forecasted,0,
4/11/2026,1190,5355,2000,10000,61,182,500,0,0,Forecasted,0,
4/12/2026,1190,5355,2000,10000,61,182,500,0,0,Forecasted,0,
4/13/2026,1190,5355,2000,10000,61,182,500,0,0,Forecasted,0,
4/14/2026,1190,5355,2000,10000,61,182,500,0,0,Forecasted,0,
4/15/2026,1190,5355,2000,10000,61,182,500,0,0,Forecasted,0,
