Week,OMR Bins,CVP Exports (cfs),SWP Exports (cfs),Total Exports (cfs),CVP Exports (%),SWP Exports (%)
Week 1,"-6,500","3,635",601,"4,236",86%,14%
Week 1,"-5,000","3,134",601,"3,735",84%,16%
Week 1,"-3,500","2,561",601,"3,162",81%,19%
Week 1,"-2,000","1,918",601,"2,519",76%,24%
Week 2,"-6,500",902,601,"1,503",60%,40%
Week 2,"-5,000",902,601,"1,503",60%,40%
Week 2,"-3,500",902,601,"1,503",60%,40%
Week 2,"-2,000",902,601,"1,503",60%,40%
Week 3,"-6,500",902,601,"1,503",60%,40%
Week 3,"-5,000",902,601,"1,503",60%,40%
Week 3,"-3,500",902,601,"1,503",60%,40%
Week 3,"-2,000",902,601,"1,503",60%,40%
