DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,UNNAMED: 10,UNNAMED: 11,14 DAYS OF FORECAST DATA AFTER FORECAST DATE
2026-03-06,8329,8351,6106,50104,104,359,1365,0,0,Measured,,
2026-03-07,8121,8367,5683,46516,105,352,1207,0,0,Measured,,
2026-03-08,7409,8024,5345,43272,112,353,1108,0,0,Measured,,
2026-03-09,7120,8399,5186,40656,114,357,1065,0,0,Measured,,
2026-03-10,7321,8397,5019,39212,78,342,1011,0,0,Measured,,
2026-03-11,6928,8361,4919,37076,54,342,949,0,0,Measured,,
2026-03-12,6942,8353,4792,34136,50,331,881,0,0,Measured,,
2026-03-13,6740,8370,4728,30884,54,335,839,0,0,Measured,,
2026-03-14,6528,8378,4813,28720,60,330,800,0,0,Measured,,
2026-03-15,6536,8359,4885,27508,63,294,755,0,0,Measured,,
2026-03-16,6005,8343,4883,26652,58,236,723,0,0,Measured,,
2026-03-17,6736,8358,4741,25584,63,226,708,0,0,Measured,,
2026-03-18,6538,8343,4593,24200,58,227,651,0,0,Measured,,
2026-03-19,585,1677,4214,22556,62,226,620,0,0,Measured,,
2026-03-20,6130,8314,3852,21624,63,210,607,0,0,Measured,,
2026-03-21,5729,8362,3562,20584,66,205,563,0,0,Measured,,
2026-03-22,5351,8380,3325,19808,62,202,553,0,0,Measured,,
2026-03-23,4954,8381,3057,19100,66,199,534,0,0,Measured,,
2026-03-24,6346,6929,2683,18400,61,182,500,0,0,Measured,,
2026-03-25,5750,6975,2398,17108,40,193,471,0,0,Measured,,
2026-03-26,5542,6991,2186,15672,53,197,452,0,0,Measured,,
2026-03-27,5152,6972,2038,14064,74,189,425,0,0,Measured,,
2026-03-28,4938,6986,1974,13236,57,195,399,0,0,Measured,,
2026-03-29,4730,6973,1948,13036,49,194,373,0,0,Measured,,
2026-03-30,4712,6967,1848,12777,40,188,359,0,0,Measured,,
2026-03-31,4732,6980,1861,12424,40,199,354,0,0,Measured,,
2026-04-01,1190,6988,2095,12476,36,205,878,0,0,Measured,,
2026-04-02,1183,6829,2163,12985,28,177,1163,0,0,Measured,,
2026-04-03,1180,6955,2316,14567,28,187,1176,0,0,Measured,,
2026-04-04,1190,6954,2478,15390,29,180,900,0,0,Measured,,
2026-04-05,1183,6961,2564,15112,69,179,770,0,0,Measured,,
2026-04-06,1190,6942,2645,13917,69,179,675,0,0,Forecasted,,
2026-04-07,1190,6942,2637,13022,69,179,578,0,0,Forecasted,,
2026-04-08,1190,5355,2604,12783,69,179,506,0,0,Forecasted,,
2026-04-09,1190,5355,2572,12865,69,179,456,0,0,Forecasted,,
2026-04-10,1190,5355,2547,13590,69,179,446,0,0,Forecasted,,
2026-04-11,1190,5355,2500,15314,69,179,510,0,0,Forecasted,,
2026-04-12,1190,5355,2450,16511,69,179,510,0,0,Forecasted,,
2026-04-13,1190,1785,2400,16887,69,179,510,0,0,Forecasted,,
2026-04-14,1190,1785,2350,16858,69,179,510,0,0,Forecasted,,
2026-04-15,1190,1785,2300,16705,69,179,510,0,0,Forecasted,,
2026-04-16,1190,1785,2250,16000,69,179,510,0,0,Forecasted,,
2026-04-17,1190,1785,2200,15000,69,179,510,0,0,Forecasted,,
2026-04-18,1190,1785,2200,14000,69,179,510,0,0,Forecasted,,
2026-04-19,1190,1785,2200,13000,69,179,510,0,0,Forecasted,,
2026-04-20,1190,1785,2200,13000,69,179,510,0,0,Forecasted,,
2026-04-21,1190,1785,2200,13000,69,179,510,0,0,Forecasted,,
2026-04-22,1190,1785,2200,13000,69,179,510,0,0,Forecasted,,
2026-04-23,1190,1785,2200,13000,69,179,510,0,0,Forecasted,,
2026-04-24,1190,1785,2200,13000,69,179,510,0,0,Forecasted,,
2026-04-25,1190,1785,2200,13000,69,179,510,0,0,Forecasted,,
2026-04-26,1190,1785,2200,13000,69,179,510,0,0,Forecasted,,
2026-04-27,1190,1785,2200,13000,69,179,510,0,0,Forecasted,,
2026-04-28,1190,1785,2200,13000,69,179,510,0,0,Forecasted,,
