,FPT,VNS,CCF,TPP
Date,cfs,cfs,cfs,cfs
3/16/2026,23050,4883,3027,4206
3/17/2026,22771,4741,3396,4214
3/18/2026,21912,4593,3296,4206
3/19/2026,20673,4214,295,845
3/20/2026,19776,3852,3090,4192
3/21/2026,18825,3562,2888,4216
3/22/2026,18061,3325,2698,4225
