Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:
3/16/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date 
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,,14 days of forecast data after forecast date
2/13/2026,7923,3859,2882,33340,21,298,283,0,0,Measured,,
2/14/2026,4957,8342,2869,34604,21,298,263,0,0,Measured,,
2/15/2026,5139,8423,2851,33940,21,296,254,0,0,Measured,,
2/16/2026,5153,8451,3029,34056,34,378,1936,0,0,Measured,,
2/17/2026,5150,8447,3751,36904,107,436,3742,0,0,Measured,,
2/18/2026,5934,8455,5277,46252,336,378,2854,0,0,Measured,,
2/19/2026,7331,8442,7141,49448,513,321,2022,0,0,Measured,,
2/20/2026,8914,8409,7818,49756,604,286,1688,0,0,Measured,,
2/21/2026,10114,8382,8448,50092,700,279,1133,0,0,Measured,,
2/22/2026,10903,8380,8415,51392,696,279,918,0,0,Measured,,
2/23/2026,10893,8374,8261,50640,701,281,830,0,0,Measured,,
2/24/2026,10701,8399,8270,49428,703,281,823,0,0,Measured,,
2/25/2026,10495,8437,8057,47908,577,299,1320,0,0,Measured,,
2/26/2026,10295,8413,7762,51892,446,298,1979,0,0,Measured,,
2/27/2026,9912,8409,7473,58456,343,299,2079,0,3106,Measured,,
2/28/2026,9714,8428,7166,63664,296,332,2239,0,21886,Measured,,
3/1/2026,9333,8434,6944,64696,297,289,2379,0,17424,Measured,,
3/2/2026,8916,8425,6779,63016,248,338,2263,0,7377,Measured,,
3/3/2026,8908,8418,6611,60568,204,317,1994,0,796,Measured,,
3/4/2026,8707,8411,6389,57779,148,328,1744,0,0,Measured,,
3/5/2026,8523,8372,6215,54132,99,359,1555,0,0,Measured,,
3/6/2026,8329,8351,6106,50104,104,359,1365,0,0,Measured,,
3/7/2026,8121,8367,5683,46516,105,352,1207,0,0,Measured,,
3/8/2026,7409,8024,5345,43272,112,353,1108,0,0,Measured,,
3/9/2026,7120,8399,5186,40656,114,357,1065,0,0,Measured,,
3/10/2026,7321,8397,5019,39212,78,342,1011,0,0,Measured,,
3/11/2026,6928,8361,4919,37076,54,342,949,0,0,Measured,,
3/12/2026,6942,8353,4792,34136,50,331,881,0,0,Measured,,
3/13/2026,6740,8370,4728,30884,54,335,839,0,0,Measured,,
3/14/2026,6528,8378,4813,28720,60,330,800,0,0,Measured,,
3/15/2026,6536,8359,4885,27508,63,294,755,0,0,Measured,,
3/16/2026,10116,8331,4969,25489,63,294,755,0,0,Forecasted,,
3/17/2026,10116,8331,4958,24845,63,294,755,0,0,Forecasted,,
3/18/2026,10116,8331,4950,24207,63,294,755,0,0,Forecasted,,
3/19/2026,10116,8331,4900,23914,63,294,755,0,0,Forecasted,,
3/20/2026,10116,8331,4850,23856,63,294,755,0,0,Forecasted,,
3/21/2026,9918,8331,4800,23817,63,294,755,0,0,Forecasted,,
3/22/2026,9918,8331,4750,23756,63,294,755,0,0,Forecasted,,
3/23/2026,9918,8331,4700,23681,63,294,755,0,0,Forecasted,,
3/24/2026,9719,8331,4650,23607,63,294,755,0,0,Forecasted,,
3/25/2026,9719,8331,4600,23455,63,294,755,0,0,Forecasted,,
3/26/2026,9719,8331,4550,23000,63,294,755,0,0,Forecasted,,
3/27/2026,9521,8331,4500,22000,63,294,755,0,0,Forecasted,,
3/28/2026,9521,8331,4500,21000,63,294,755,0,0,Forecasted,,
3/29/2026,9521,8331,4500,20000,63,294,755,0,0,Forecasted,,
3/30/2026,9521,8331,4500,20000,63,294,755,0,0,Forecasted,,
3/31/2026,9521,8331,4500,20000,63,294,755,0,0,Forecasted,,
4/1/2026,9521,8331,4500,20000,63,294,755,0,0,Forecasted,,
4/2/2026,9521,8331,4500,20000,63,294,755,0,0,Forecasted,,
4/3/2026,9521,8331,4500,20000,63,294,755,0,0,Forecasted,,
4/4/2026,9521,8331,4500,20000,63,294,755,0,0,Forecasted,,
4/5/2026,9521,8331,4500,20000,63,294,755,0,0,Forecasted,,
4/6/2026,9521,8331,4500,20000,63,294,755,0,0,Forecasted,,
4/7/2026,9521,8331,4500,20000,63,294,755,0,0,Forecasted,,
