Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:
1/20/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date 
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,DCC,14 days of forecast data after forecast date
12/20/2025,10880,5275,3558,13236,96,281,96,0,0,Measured,0,
12/21/2025,12873,6992,4848,18038,166,283,166,0,0,Measured,0,
12/22/2025,10892,7004,5822,20977,539,304,539,0,0,Measured,0,
12/23/2025,14865,8224,6068,33157,1043,281,1043,0,0,Measured,0,
12/24/2025,7326,8072,5780,47908,2010,332,2010,0,0,Measured,0,
12/25/2025,3750,8097,5256,52159,4172,365,4172,0,0,Measured,0,
12/26/2025,8121,7031,4453,57117,2982,319,2982,0,9183,Measured,0,
12/27/2025,7302,6976,4074,65265,1901,677,1901,0,37180,Measured,0,
12/28/2025,7119,6996,3487,69619,1213,757,1213,0,39848,Measured,0,
12/29/2025,3951,6991,2587,69585,897,767,897,0,30134,Measured,0,
12/30/2025,3569,7014,2152,68553,713,791,713,0,10944,Measured,0,
12/31/2025,3360,7043,1934,64801,598,1049,598,0,165,Measured,0,
1/1/2026,3355,7087,1874,56858,1049,1150,1049,0,0,Measured,0,
1/2/2026,3355,7016,1928,53809,2012,1133,2012,0,0,Measured,0,
1/3/2026,3168,5389,2495,55873,3166,1153,3166,0,0,Measured,0,
1/4/2026,7135,5338,2583,67019,6278,1345,6278,0,12176,Measured,0,
1/5/2026,5549,6943,3387,75132,5138,1289,5138,0,46355,Measured,0,
1/6/2026,6543,6970,5083,75675,2801,1464,2801,0,56697,Measured,0,
1/7/2026,6733,8329,4454,75866,2027,1534,2027,0,54406,Measured,0,
1/8/2026,6335,8365,3516,73138,1687,1803,1687,0,49826,Measured,0,
1/9/2026,5540,8284,3223,73314,1395,1876,1395,0,45962,Measured,0,
1/10/2026,5148,8271,3132,71327,1179,1884,1179,0,30633,Measured,0,
1/11/2026,4956,8289,3066,69251,1027,1905,1027,0,12645,Measured,0,
1/12/2026,4943,8305,2945,65955,916,1910,916,0,3739,Measured,0,
1/13/2026,3944,6934,2835,62786,829,1931,829,0,1,Measured,0,
1/14/2026,3952,6942,2732,58433,766,1939,766,0,0,Measured,0,
1/15/2026,3966,6940,2649,53755,732,1931,732,0,0,Measured,0,
1/16/2026,3762,6948,2610,50057,702,1803,702,0,0,Measured,0,
1/17/2026,3748,6938,2556,46228,660,1624,660,0,0,Measured,0,
1/18/2026,3758,6929,2514,43162,622,1611,622,0,0,Measured,0,
1/19/2026,3767,6930,2487,40755,587,1619,587,0,0,Measured,0,
1/20/2026,2579,6942,2467,38897,550,1500,550,0,0,Forecasted,0,
1/21/2026,2579,6942,2451,37262,522,1350,522,0,0,Forecasted,0,
1/22/2026,2579,3570,2443,35913,496,1200,496,0,0,Forecasted,0,
1/23/2026,2579,3570,2436,35060,470,1100,470,0,0,Forecasted,0,
1/24/2026,2579,3570,2428,34447,446,1000,446,0,0,Forecasted,0,
1/25/2026,2579,3570,2400,34003,430,850,430,0,0,Forecasted,0,
1/26/2026,2579,3570,2300,33602,410,700,410,0,0,Forecasted,0,
1/27/2026,2579,3570,2200,33217,380,600,380,0,0,Forecasted,0,
1/28/2026,2380,3570,2100,32914,350,500,350,0,0,Forecasted,0,
1/29/2026,2182,3570,2000,32626,320,400,320,0,0,Forecasted,0,
1/30/2026,2182,3570,1900,31000,280,300,280,0,0,Forecasted,0,
1/31/2026,2182,3570,1800,30000,280,300,280,0,0,Forecasted,0,
2/1/2026,1984,3570,1800,28000,280,300,280,0,0,Forecasted,0,
2/2/2026,1984,3570,1800,25000,280,300,280,0,0,Forecasted,0,
