Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:,,
6/1/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date ,,
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,DCC,14 days of forecast data after forecast date,,
5/8/2026,0,1760,1352,14632,111,221,548,0,0,Measured,0,,,
5/9/2026,1043,1756,1343,15140,131,215,485,0,0,Measured,0,,,
5/10/2026,828,1774,1367,14728,132,215,448,0,0,Measured,0,,,
5/11/2026,1259,1744,1314,14186,128,235,418,0,0,Measured,0,,,
5/12/2026,1043,1758,1160,13260,148,603,379,0,0,Measured,0,,,
5/13/2026,1043,6425,1404,12524,169,991,343,0,0,Measured,0,,,
5/14/2026,1030,6752,1589,11443,173,1368,326,0,0,Measured,0,,,
5/15/2026,913,6768,1856,10944,170,1222,305,0,0,Measured,0,,,
5/16/2026,1099,6795,2150,10680,182,976,284,0,0,Measured,0,,,
5/17/2026,913,7051,2407,10990,171,654,264,0,0,Measured,0,,,
5/18/2026,1099,8506,2465,10516,168,600,253,0,0,Measured,0,,,
5/19/2026,1099,8231,2327,9963,162,581,238,0,0,Measured,0,,,
5/20/2026,1099,3964,2308,8906,175,573,222,0,0,Measured,0,,,
5/21/2026,1085,5352,2295,7489,197,571,210,0,0,Measured,0,,,
5/22/2026,1085,1786,2076,6802,207,559,198,0,0,Measured,0,,,
5/23/2026,913,1772,2174,7065,196,560,187,0,0,Measured,1,,,
5/24/2026,913,1770,2257,7038,142,579,181,0,0,Measured,1,,,
5/25/2026,1099,1770,2145,7308,174,571,171,0,0,Measured,0,,,
5/26/2026,913,1768,1939,8844,184,574,166,0,0,Measured,0,,,
5/27/2026,1099,1768,1777,9565,209,568,174,0,0,Measured,0,,,
5/28/2026,913,1768,1745,10544.4,198,580,184,0,0,Measured,0,,,
5/29/2026,913,3615,1903,11548,172,582,188,0,0,Measured,0,,,
5/30/2026,1099,3649,1942,13133.6,165,581,187,0,0,Measured,1,,,
5/31/2026,1099,3683,2010,14188.4,183,577,175,0,0,Measured,1,,,
6/1/2026,4400,3683,2063,14874,189,572,161,0,0,Measured,0,,,
6/2/2026,6251,5578,1893,14742,195,563,148,0,0,Measured,0,,,
6/3/2026,3592,5568,1946,14172.8,206,554,137,0,0,Measured,0,,,
6/4/2026,3433,5566,1911,13505.6,215,542,129,0,0,Measured,0,,,
6/5/2026,3447,5558,1871,13018.8,220,518,122,0,0,Measured,0,,,
6/6/2026,2711,5532,1859,12736,229,376,117,0,0,Measured,1,,,
6/7/2026,2162,5544,1629,12552.8,211,377,112,0,0,Measured,1,,,"change export to meet the next OMRI Target before saving (-3,500) then -5000"
6/8/2026,4950,5544,1200,11881,211,377,112,0,0,Forecasted,0,,,
6/9/2026,4356,5544,1200,12194,211,377,112,0,0,Forecasted,0,,,
6/10/2026,4356,5544,1600,12142,211,377,112,0,0,Forecasted,0,,,
6/11/2026,4752,5544,1800,12090,211,377,112,0,0,Forecasted,0,,,
6/12/2026,4950,5544,1800,12032,211,377,112,0,0,Forecasted,0,,,
6/13/2026,4950,5544,1600,11974,211,377,112,0,0,Forecasted,1,,,
6/14/2026,4752,5544,1200,11917,211,377,112,0,0,Forecasted,1,,,
6/15/2026,4356,5544,900,12810,211,377,112,0,0,Forecasted,1,,,
6/16/2026,3960,5544,900,12000,211,377,112,0,0,Forecasted,1,,,
6/17/2026,3960,5544,1600,12000,211,377,112,0,0,Forecasted,1,,,
6/18/2026,4752,5544,1800,12000,211,377,112,0,0,Forecasted,1,,,
6/19/2026,4752,5544,1800,12000,211,377,112,0,0,Forecasted,1,,,
6/20/2026,4752,5544,1600,12000,211,377,112,0,0,Forecasted,1,,,
6/21/2026,4554,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/22/2026,4554,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/23/2026,4554,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/24/2026,4554,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/25/2026,4554,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/26/2026,4554,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/27/2026,4554,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/28/2026,4554,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/29/2026,4554,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
6/30/2026,4554,5544,1200,12000,211,377,112,0,0,Forecasted,1,,,
