Forecast Week,Sacramento River at Freeport (cfs),Sac Flow Bin,San Joaquin River at Vernalis (cfs),SJR Flow Bin,Delta Inflow Bin
Week 1 (05/26/2026 - 06/01/2026),"9,890",lo,"1,776",lo,lolo
Week 2 (06/02/2026 - 06/08/2026),"10,146",lo,"1,700",lo,lolo
Week 3 (06/09/2026 - 06/15/2026),"10,034",lo,"1,700",lo,lolo
