DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,data type,DCC,14 DAYS OF FORECAST DATA AFTER FORECAST DATE
4/25/2026,2362,3167,2986,31912,149,341,1281,0,0,Measured,0,
4/26/2026,2380,3282,3040,28940,141,339,1207,0,0,Measured,0,
4/27/2026,2369,3014,3090,26704,115,333,1241,0,0,Measured,0,
4/28/2026,2371,3325,2872,24640,87,328,1134,0,0,Measured,0,
4/29/2026,1974,3284,2926,22092,89,327,957,0,0,Measured,0,
4/30/2026,2174,3053,2946,20412,88,259,850,0,0,Measured,0,
5/1/2026,2362,3063,2683,18724,78,240,785,0,0,Measured,0,
5/2/2026,1766,3103,2421,17012,91,236,707,0,0,Measured,0,
5/3/2026,1373,2898,2262,15360,87,229,653,0,0,Measured,0,
5/4/2026,1180,2796,2095,14560,87,235,606,0,0,Measured,0,
5/5/2026,1188,2281,1845,14313,100,238,743,0,0,Measured,0,
5/6/2026,1190,2230,1664,14276,106,222,703,0,0,Measured,0,
5/7/2026,1186,1768,1457,14008,95,234,611,0,0,Measured,0,
5/8/2026,1172,1766,1352,14632,111,221,548,0,0,Measured,0,
5/9/2026,1171,1763,1343,15140,131,215,485,0,0,Measured,0,
5/10/2026,1183,1760,1367,14728,132,215,448,0,0,Measured,0,
5/11/2026,1184,1777,1314,14186,128,235,418,0,0,Measured,0,
5/12/2026,1178,1748,1160,13260,148,603,379,0,0,Measured,0,
5/13/2026,1179,1762,1404,12524,169,991,343,0,0,Measured,0,
5/14/2026,1189,6436,1589,11443,173,1368,326,0,0,Measured,0,
5/15/2026,1176,6763,1856,10944,170,1222,305,0,0,Measured,0,
5/16/2026,1171,6780,2150,10680,182,976,284,0,0,Measured,0,
5/17/2026,1183,6807,2407,10990,171,654,264,0,0,Measured,0,
5/18/2026,1183,7063,2465,10516,168,600,253,0,0,Measured,0,
5/19/2026,1174,8522,2327,9963,162,581,238,0,0,Measured,0,
5/20/2026,1175,8246,2308,8906,175,573,222,0,0,Measured,0,
5/21/2026,1176,3970,2295,7489,197,571,210,0,0,Measured,0,
5/22/2026,1182,5362,2076,6802,207,559,198,0,0,Measured,0,
5/23/2026,1171,1789,2174,7065,196,560,187,0,0,Measured,1,
5/24/2026,1186,1776,2257,7038,142,579,181,0,0,Measured,1,
5/25/2026,1182,1773,2145,7308,174,571,171,0,0,Measured,0,
5/26/2026,1190,1785,1959,7300,180,570,175,0,0,Forecasted,0,
5/27/2026,1190,1785,1810,9514,180,570,175,0,0,Forecasted,0,
5/28/2026,1190,6347,1761,10243,180,570,175,0,0,Forecasted,0,
5/29/2026,1190,6347,1747,10532,180,570,175,0,0,Forecasted,0,
5/30/2026,1190,6347,1754,10584,180,570,175,0,0,Forecasted,1,
5/31/2026,1190,6347,1700,10542,180,570,175,0,0,Forecasted,1,
6/1/2026,2182,5355,1700,10518,180,570,175,0,0,Forecasted,0,
6/2/2026,2182,5355,1700,10616,180,570,175,0,0,Forecasted,0,
6/3/2026,2182,5355,1700,10237,180,570,175,0,0,Forecasted,0,
6/4/2026,2182,5355,1700,10034,180,570,175,0,0,Forecasted,0,
6/5/2026,2182,5355,1700,10034,180,570,175,0,0,Forecasted,0,
6/6/2026,2182,5355,1700,10034,180,570,175,0,0,Forecasted,1,
6/7/2026,1984,5355,1700,10034,180,570,175,0,0,Forecasted,1,
6/8/2026,1984,5355,1700,10034,180,570,175,0,0,Forecasted,0,
6/9/2026,1984,5355,1700,10034,180,570,175,0,0,Forecasted,0,
6/10/2026,1984,5355,1700,10034,180,570,175,0,0,Forecasted,0,
6/11/2026,1984,5355,1700,10034,180,570,175,0,0,Forecasted,0,
6/12/2026,1984,5355,1700,10034,180,570,175,0,0,Forecasted,0,
6/13/2026,1984,5355,1700,10034,180,570,175,0,0,Forecasted,1,
6/14/2026,1984,5355,1700,10034,180,570,175,0,0,Forecasted,1,
6/15/2026,1984,5355,1700,10034,180,570,175,0,0,Forecasted,1,
6/16/2026,1984,5355,1700,10034,180,570,175,0,0,Forecasted,1,
6/17/2026,1984,5355,1700,10034,180,570,175,0,0,Forecasted,1,
