Week,OMR Bins,CVP Exports (cfs),SWP Exports (cfs),Total Exports (cfs),CVP Exports (%),SWP Exports (%)
Week 1,"-6,500","3,263",687,"3,950",83%,17%
Week 1,"-5,000","3,263",687,"3,950",83%,17%
Week 1,"-3,500","2,476",673,"3,149",79%,21%
Week 1,"-2,000",902,601,"1,503",60%,40%
Week 2,"-6,500","4,208","1,202","5,410",78%,22%
Week 2,"-5,000","4,208","1,202","5,410",78%,22%
Week 2,"-3,500","2,705","1,073","3,778",72%,28%
Week 2,"-2,000",902,601,"1,503",60%,40%
Week 3,"-6,500","4,208","1,202","5,410",78%,22%
Week 3,"-5,000","4,208","1,202","5,410",78%,22%
Week 3,"-3,500","2,705","1,002","3,707",73%,27%
Week 3,"-2,000",902,601,"1,503",60%,40%
