Forecast Week,Sacramento River at Freeport (cfs),Sac Flow Bin,San Joaquin River at Vernalis (cfs),SJR Flow Bin,Delta Inflow Bin
Week 1 (05/12/2026 - 05/18/2026),"13,798",med,"1,985",med,medmed
Week 2 (05/19/2026 - 05/25/2026),"13,127",lo,"2,000",med,lomed
Week 3 (05/26/2026 - 06/01/2026),"13,000",lo,"2,000",med,lomed
