Week,OMR Bins,CVP Exports (cfs),SWP Exports (cfs),Total Exports (cfs),CVP Exports (%),SWP Exports (%)
Week 1,"-6,500","3,263",601,"3,864",84%,16%
Week 1,"-5,000","3,263",601,"3,864",84%,16%
Week 1,"-3,500","2,047",601,"2,648",77%,23%
Week 1,"-2,000",902,601,"1,503",60%,40%
Week 2,"-6,500","4,208",601,"4,809",88%,12%
Week 2,"-5,000","4,208",601,"4,809",88%,12%
Week 2,"-3,500","2,505",601,"3,106",81%,19%
Week 2,"-2,000",902,601,"1,503",60%,40%
Week 3,"-6,500","4,208",601,"4,809",88%,12%
Week 3,"-5,000","4,208",601,"4,809",88%,12%
Week 3,"-3,500","2,505",601,"3,106",81%,19%
Week 3,"-2,000",902,601,"1,503",60%,40%
