Week,OMR Bins,CVP Exports (cfs),SWP Exports (cfs),Total Exports (cfs),CVP Exports (%),SWP Exports (%)
Week 1,"-6,500","4,107",1101.875902,"5,209",79%,21%
Week 1,"-5,000","3,506",872.9437229,"4,379",80%,20%
Week 1,"-3,500","2,819",629.6536797,"3,449",82%,18%
Week 1,"-2,000",2046.320346,601.010101,2647.330447,77%,23%
Week 2,"-6,500","2,791",601.010101,"3,392",82%,18%
Week 2,"-5,000","2,390",601.010101,"2,991",80%,20%
Week 2,"-3,500","1,932",601.010101,"2,533",76%,24%
Week 2,"-2,000",1416.666667,601.010101,"2,018",70%,30%
Week 3,"-6,500",902,601.010101,"1,503",60%,40%
Week 3,"-5,000",902,601.010101,"1,503",60%,40%
Week 3,"-3,500",902,601.010101,"1,503",60%,40%
Week 3,"-2,000",901.5151515,601.010101,"1,503",60%,40%
