,FPT,VNS,CCF,TPP
Date,cfs,cfs,cfs,cfs
3/30/2026,12164,1848,2376,3512
3/31/2026,12028,1861,2386,3519
4/1/2026,12134,2095,600,3523
4/2/2026,12858,2163,596,3443
4/3/2026,14281,2316,595,3506
4/4/2026,15198,2478,600,3506
4/5/2026,14808,2564,596,3509
