Forecast Week,Sacramento River at Freeport (cfs),Sac Flow Bin,San Joaquin River at Vernalis (cfs),SJR Flow Bin,Delta Inflow Bin
Week 1 (03/31/2026 - 04/06/2026),"12,428",lo,"2,196",med,lomed
Week 2 (04/07/2026 - 04/13/2026),"11,423",lo,"2,200",med,lomed
Week 3 (04/14/2026 - 04/20/2026),"10,500",lo,"2,200",med,lomed
