Forecast Week,Sacramento River at Freeport (cfs),Sac Flow Bin,San Joaquin River at Vernalis (cfs),SJR Flow Bin,Delta Inflow Bin
Week 1 (04/14/2026 - 04/20/2026),"27,661",hi,"2,482",med,himed
Week 2 (04/21/2026 - 04/27/2026),"21,411",med,"2,200",med,medmed
Week 3 (04/28/2026 - 05/04/2026),"18,000",med,"2,200",med,medmed
