Week,OMR Bins,CVP Exports (cfs),SWP Exports (cfs),Total Exports (cfs),CVP Exports (%),SWP Exports (%)
Week 1,"-6,500","2,754","2,003","4,757",58%,42%
Week 1,"-5,000","2,754","2,003","4,757",58%,42%
Week 1,"-3,500","1,900","2,000","3,900",49%,51%
Week 1,"-2,000",900,"1,371","2,271",40%,60%
Week 2,"-6,500","2,905","1,803","4,708",62%,38%
Week 2,"-5,000","2,905","1,803","4,708",62%,38%
Week 2,"-3,500","1,900","2,000","3,900",49%,51%
Week 2,"-2,000",900,"1,300","2,200",41%,59%
Week 3,"-6,500","2,905","1,803","4,708",62%,38%
Week 3,"-5,000","2,905","1,803","4,708",62%,38%
Week 3,"-3,500","1,900","2,000","3,900",49%,51%
Week 3,"-2,000",900,"1,300","2,200",41%,59%
