Forecast Week,Sacramento River at Freeport (cfs),Sac Flow Bin,San Joaquin River at Vernalis (cfs),SJR Flow Bin,Delta Inflow Bin
Week 1 (06/02/2026 - 06/08/2026),"14,900",med,"1,771",lo,medlo
Week 2 (06/09/2026 - 06/15/2026),"15,052",med,"1,700",lo,medlo
Week 3 (06/16/2026 - 06/22/2026),"15,078",med,"1,500",lo,medlo
