,FPT,VNS,CCF,TPP
Date,cfs,cfs,cfs,cfs
6/1/2026,15857,2063,2500,1860
6/2/2026,15848,1893,2995,1860
6/3/2026,15203,1946,1990,2817
6/4/2026,14410,1911,1794,2812
6/5/2026,13964,1871,1800,2811
6/6/2026,13518,1859,1496,2807
6/7/2026,13072,1629,994,2794
