Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:
3/2/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date 
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,,14 days of forecast data after forecast date
1/30/2026,5343,6952,1925,21512,53,442,339,0,0,Measured,,
1/31/2026,5337,6958,1923,22167,41,409,330,0,0,Measured,,
2/1/2026,593,4273,2010,28007,43,415,321,0,0,Measured,,
2/2/2026,589,1609,2184,33124,47,395,310,0,0,Measured,,
2/3/2026,593,1605,2309,33405,50,429,300,0,0,Measured,,
2/4/2026,5934,3220,2317,33240,45,427,276,0,0,Measured,,
2/5/2026,6938,3209,2263,32432,40,472,244,0,0,Measured,,
2/6/2026,6342,3219,2275,32600,37,351,238,0,0,Measured,,
2/7/2026,6335,3236,2311,32700,36,320,232,0,0,Measured,,
2/8/2026,5939,3761,2321,32180,42,315,226,0,0,Measured,,
2/9/2026,4955,3842,2348,31828,47,302,221,0,0,Measured,,
2/10/2026,3964,3848,2414,31912,41,327,226,0,0,Measured,,
2/11/2026,4953,3768,2516,32084,27,309,260,0,0,Measured,,
2/12/2026,7124,3854,2752,32372,21,303,306,0,0,Measured,,
2/13/2026,7923,3859,2882,33340,21,298,283,0,0,Measured,,
2/14/2026,4957,8342,2869,34604,21,298,263,0,0,Measured,,
2/15/2026,5139,8423,2851,33940,21,296,254,0,0,Measured,,
2/16/2026,5153,8451,3029,34056,34,378,1936,0,0,Measured,,
2/17/2026,5150,8447,3751,36904,107,436,3742,0,0,Measured,,
2/18/2026,5934,8455,5277,46252,336,378,2854,0,0,Measured,,
2/19/2026,7331,8442,7141,49448,513,321,2022,0,0,Measured,,
2/20/2026,8914,8409,7818,49756,604,286,1688,0,0,Measured,,
2/21/2026,10114,8382,8448,50092,700,279,1133,0,0,Measured,,
2/22/2026,10903,8380,8415,51392,696,279,918,0,0,Measured,,
2/23/2026,10893,8374,8261,50640,701,281,830,0,0,Measured,,
2/24/2026,10701,8399,8270,49428,703,281,823,0,0,Measured,,
2/25/2026,10495,8437,8057,47908,577,299,1320,0,0,Measured,,
2/26/2026,10295,8413,7762,51892,446,298,1979,0,0,Measured,,
2/27/2026,9912,8409,7473,58456,343,299,2079,0,0,Measured,,
2/28/2026,9714,8428,7166,63664,296,332,2239,0,0,Measured,,
3/1/2026,9333,8434,6944,64696,297,289,2379,0,0,Measured,,
3/2/2026,2579,8331,6793,62671,280,280,2200,0,0,Forecasted,,
3/3/2026,2380,8331,6621,60758,280,280,1800,0,0,Forecasted,,
3/4/2026,5157,5355,6405,55690,280,280,1600,0,0,Forecasted,,
3/5/2026,4959,5355,6192,48814,280,280,1400,0,0,Forecasted,,
3/6/2026,4760,5355,6048,44036,280,280,1200,0,0,Forecasted,,
3/7/2026,4562,5355,5800,40631,280,280,1000,0,0,Forecasted,,
3/8/2026,4364,5355,5500,37929,280,280,1000,0,0,Forecasted,,
3/9/2026,3967,5355,5000,35822,280,280,1000,0,0,Forecasted,,
3/10/2026,3570,5355,4500,34285,280,280,1000,0,0,Forecasted,,
3/11/2026,2975,5355,4000,33228,280,280,1000,0,0,Forecasted,,
3/12/2026,2380,5355,3500,32000,280,280,1000,0,0,Forecasted,,
3/13/2026,1984,5355,3000,32000,280,280,1000,0,0,Forecasted,,
3/14/2026,3174,3570,2500,32000,280,280,1000,0,0,Forecasted,,
3/15/2026,2579,3570,2500,32000,280,280,1000,0,0,Forecasted,,
3/16/2026,2579,3570,2500,32000,280,280,1000,0,0,Forecasted,,
3/17/2026,2579,3570,2500,32000,280,280,1000,0,0,Forecasted,,
3/18/2026,2579,3570,2500,32000,280,280,1000,0,0,Forecasted,,
3/19/2026,2579,3570,2500,32000,280,280,1000,0,0,Forecasted,,
3/20/2026,2579,3570,2500,32000,280,280,1000,0,0,Forecasted,,
3/21/2026,2579,3570,2500,32000,280,280,1000,0,0,Forecasted,,
3/22/2026,2579,3570,2500,32000,280,280,1000,0,0,Forecasted,,
3/23/2026,2579,3570,2500,32000,280,280,1000,0,0,Forecasted,,
