Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:
1/12/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date 
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,DCC,14 days of forecast data after forecast date
12/12/2025,3952,1915,1161,10195,24,284,59,0,0,Measured,0,
12/13/2025,3956,1919,1133,9935,24,312,59,0,0,Measured,0,
12/14/2025,3963,1922,1125,9724,24,319,58,0,0,Measured,0,
12/15/2025,3960,1829,1121,9847,24,290,57,0,0,Measured,0,
12/16/2025,3172,1922,1096,10204,24,269,57,0,0,Measured,0,
12/17/2025,3147,1924,1071,10492,24,280,59,0,0,Measured,0,
12/18/2025,3965,1927,1092,10806,24,284,68,0,0,Measured,0,
12/19/2025,5931,1949,1747,11679,91,281,90,0,0,Measured,0,
12/20/2025,10880,5275,3558,13236,150,281,96,0,0,Measured,0,
12/21/2025,12873,6992,4848,18038,150,283,166,0,0,Measured,0,
12/22/2025,10892,7004,5822,20977,150,304,539,0,0,Measured,0,
12/23/2025,14865,8224,6068,33157,151,281,1043,0,0,Measured,0,
12/24/2025,7326,8072,5780,47908,153,332,2010,0,0,Measured,0,
12/25/2025,3750,8097,5256,52159,147,365,4172,0,0,Measured,0,
12/26/2025,8121,7031,4453,57117,197,319,2982,0,9183,Measured,0,
12/27/2025,7302,6976,4074,65265,245,677,1901,0,37180,Measured,0,
12/28/2025,7119,6996,3487,69619,241,757,1213,0,39848,Measured,0,
12/29/2025,3951,6991,2587,69585,246,767,897,0,30134,Measured,0,
12/30/2025,3569,7014,2152,68553,240,791,713,0,10944,Measured,0,
12/31/2025,3360,7043,1934,64801,252,1049,598,0,165,Measured,0,
1/1/2026,3355,7087,1874,56858,250,1150,1049,0,0,Measured,0,
1/2/2026,3355,7016,1928,53809,314,1133,2012,0,0,Measured,0,
1/3/2026,3168,5389,2495,55873,414,1153,3166,0,0,Measured,0,
1/4/2026,7135,5338,2583,67019,437,1345,6278,0,12176,Measured,0,
1/5/2026,5549,6943,3387,75132,502,1289,5138,0,46355,Measured,0,
1/6/2026,6543,6970,5083,75675,619,1464,2801,0,56697,Measured,0,
1/7/2026,6733,8329,4454,75866,602,1534,2027,0,54406,Measured,0,
1/8/2026,6335,8365,3516,73138,608,1803,1687,0,49826,Measured,0,
1/9/2026,5540,8284,3223,73314,540,1876,1395,0,45962,Measured,0,
1/10/2026,5148,8271,3132,71327,505,1884,1179,0,30633,Measured,0,
1/11/2026,4956,8289,3066,69251,503,1905,1027,0,12645,Measured,0,
1/12/2026,3372,8331,2956,65234,450,1800,914,0,12645,Forecasted,0,
1/13/2026,3174,6942,2862,61086,400,1600,832,0,12645,Forecasted,0,
1/14/2026,3174,3570,2728,56579,350,1400,761,0,12645,Forecasted,0,
1/15/2026,2975,3570,2580,52485,300,1200,707,0,12645,Forecasted,0,
1/16/2026,2777,3570,2451,49585,250,1000,656,0,12645,Forecasted,0,
1/17/2026,2777,3570,2400,47318,200,800,600,0,12645,Forecasted,0,
1/18/2026,2777,3570,2400,45590,150,600,550,0,12645,Forecasted,0,
1/19/2026,2777,3570,2400,44179,100,600,500,0,12645,Forecasted,0,
1/20/2026,2777,3570,2400,42588,100,600,450,0,12645,Forecasted,0,
1/21/2026,2777,3570,2400,41333,100,600,400,0,12645,Forecasted,0,
1/22/2026,2777,3570,2400,35000,100,600,400,0,12645,Forecasted,0,
1/23/2026,2777,3570,2400,30000,100,600,400,0,12645,Forecasted,0,
1/24/2026,2777,3570,2400,30000,100,600,400,0,12645,Forecasted,0,
1/25/2026,2777,3570,2400,30000,100,600,400,0,12645,Forecasted,0,
