Week,OMR Bins,CVP Exports (cfs),SWP Exports (cfs),Total Exports (cfs),CVP Exports (%),SWP Exports (%)
Week 1,"-5,000","1,674","3,477","5,152",32%,68%
Week 1,"-3,500",902,"2,590","3,492",26%,74%
Week 1,"-2,000",902,859,"1,760",51%,49%
Week 2,"-5,000","1,803","3,106","4,909",37%,63%
Week 2,"-3,500",902,"2,375","3,277",28%,72%
Week 2,"-2,000",902,802,"1,703",53%,47%
Week 3,"-5,000","1,803","3,106","4,909",37%,63%
Week 3,"-3,500",902,"2,304","3,206",28%,72%
Week 3,"-2,000",902,802,"1,703",53%,47%
