DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,UNNAMED: 10,UNNAMED: 11,14 DAYS OF FORECAST DATA AFTER FORECAST DATE
2026-03-27,5152,6972,2038,14064,74,189,425,0,0,Measured,,
2026-03-28,4938,6986,1974,13236,57,195,399,0,0,Measured,,
2026-03-29,4730,6973,1948,13036,49,194,373,0,0,Measured,,
2026-03-30,4712,6967,1848,12777,40,188,359,0,0,Measured,,
2026-03-31,4732,6980,1861,12424,40,199,354,0,0,Measured,,
2026-04-01,1190,6988,2095,12476,36,205,878,0,0,Measured,,
2026-04-02,1183,6829,2163,12985,28,177,1163,0,0,Measured,,
2026-04-03,1180,6955,2316,14567,28,187,1176,0,0,Measured,,
2026-04-04,1190,6954,2478,15390,29,180,900,0,0,Measured,,
2026-04-05,1183,6961,2564,15112,69,179,770,0,0,Measured,,
2026-04-06,1184,6970,2518,13246,96,159,689,0,0,Measured,,
2026-04-07,1190,6853,2317,12702,112,162,625,0,0,Measured,,
2026-04-08,1185,6809,2258,12170,110,163,574,0,0,Measured,,
2026-04-09,1776,6957,2233,11696,89,164,557,0,0,Measured,,
2026-04-10,1768,6946,2286,12592,69,180,559,0,0,Measured,,
2026-04-11,1766,6968,2490,17038,38,208,995,0,0,Measured,,
2026-04-12,1768,6979,2734,28820,39,218,2238,0,0,Measured,,
2026-04-13,2573,2029,2685,36774,66,196,2899,0,0,Measured,,
2026-04-14,2367,2444,2406,38444,90,595,1958,0,0,Measured,,
2026-04-15,2168,2868,2295,36672,122,997,1702,0,0,Measured,,
2026-04-16,1596,2735,2272,33424,150,1394,1629,0,0,Measured,,
2026-04-17,1388,2719,2073,30676,106,1265,1530,0,0,Measured,,
2026-04-18,1199,2724,2149,28276,56,1010,1397,0,0,Measured,,
2026-04-19,1180,2593,2488,26332,47,688,1289,0,0,Measured,,
2026-04-20,2178,2528,2629,25236,34,391,1151,0,0,Measured,,
2026-04-21,2560,2352,2882,26892,19,469,1283,0,0,Measured,,
2026-04-22,2374,2821,3167,29648,44,381,2034,0,0,Measured,,
2026-04-23,2962,2830,3230,32728,129,317,1577,0,0,Measured,,
2026-04-24,2559,3194,3242,34176,176,347,1368,0,0,Measured,,
2026-04-25,2362,3167,2986,31912,149,341,1281,0,0,Measured,,
2026-04-26,2380,3282,3040,28940,141,339,1207,0,0,Measured,,
2026-04-27,2380,3330,3193,26651,120,330,1195,0,0,Forecasted,,
2026-04-28,2380,3471,3034,25041,120,330,1043,0,0,Forecasted,,
2026-04-29,2182,3471,2753,22715,120,330,930,0,0,Forecasted,,
2026-04-30,2182,2918,2686,21723,120,330,832,0,0,Forecasted,,
2026-05-01,2182,2902,2905,20884,120,330,734,0,0,Forecasted,,
2026-05-02,2579,2902,3100,20063,120,330,620,0,0,Forecasted,,
2026-05-03,2975,2902,2900,19355,120,330,510,0,0,Forecasted,,
2026-05-04,1190,4165,2600,18908,120,330,400,0,0,Forecasted,,
2026-05-05,1190,3769,2300,18526,120,330,400,0,0,Forecasted,,
2026-05-06,1190,3174,2100,18194,120,330,400,0,0,Forecasted,,
2026-05-07,1190,2777,2000,15000,120,330,400,0,0,Forecasted,,
2026-05-08,1190,2579,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-09,1587,2182,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-10,1587,2182,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-11,1587,2182,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-12,1587,2182,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-13,1587,2182,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-14,1587,2182,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-15,1587,2182,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-16,1587,2182,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-17,1587,2182,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-18,1587,2182,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-19,1587,2182,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-20,1587,2182,2000,13000,120,330,400,0,0,Forecasted,,
