Week,OMR Bins,CVP Exports (cfs),SWP Exports (cfs),Total Exports (cfs),CVP Exports (%),SWP Exports (%)
Week 1,"-6,500","1,640","1,131","2,771",59%,41%
Week 1,"-5,000","1,640","1,131","2,771",59%,41%
Week 1,"-3,500","1,640","1,131","2,771",59%,41%
Week 1,"-2,000","1,640","1,131","2,771",59%,41%
Week 2,"-6,500","1,360",687,"2,047",66%,34%
Week 2,"-5,000","1,360",687,"2,047",66%,34%
Week 2,"-3,500","1,360",687,"2,047",66%,34%
Week 2,"-2,000","1,360",687,"2,047",66%,34%
Week 3,"-6,500","1,102",802,"1,904",58%,42%
Week 3,"-5,000","1,102",802,"1,904",58%,42%
Week 3,"-3,500","1,102",802,"1,904",58%,42%
Week 3,"-2,000","1,102",802,"1,904",58%,42%
