Week,OMR Bins,CVP Exports (cfs),SWP Exports (cfs),Total Exports (cfs),CVP Exports (%),SWP Exports (%)
Week 1,"-6,500","1,143",601,"1,744",66%,34%
Week 1,"-5,000","1,143",601,"1,744",66%,34%
Week 1,"-3,500","1,143",601,"1,744",66%,34%
Week 1,"-2,000","1,143",601,"1,744",66%,34%
Week 2,"-6,500","2,547",601,"3,148",81%,19%
Week 2,"-5,000","2,547",601,"3,148",81%,19%
Week 2,"-3,500","1,545",601,"2,146",72%,28%
Week 2,"-2,000",902,601,"1,503",60%,40%
Week 3,"-6,500","3,206",601,"3,807",84%,16%
Week 3,"-5,000","3,206",601,"3,807",84%,16%
Week 3,"-3,500","1,803",601,"2,404",75%,25%
Week 3,"-2,000",902,601,"1,503",60%,40%
