DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,data type,DCC,14 DAYS OF FORECAST DATA AFTER FORECAST DATE
4/3/2026,1180,6955,2316,14567,28,187,1176,0,0,Measured,0,
4/4/2026,1190,6954,2478,15390,29,180,900,0,0,Measured,0,
4/5/2026,1183,6961,2564,15112,69,179,770,0,0,Measured,0,
4/6/2026,1184,6970,2518,13246,96,159,689,0,0,Measured,0,
4/7/2026,1190,6853,2317,12702,112,162,625,0,0,Measured,0,
4/8/2026,1185,6809,2258,12170,110,163,574,0,0,Measured,0,
4/9/2026,1776,6957,2233,11696,89,164,557,0,0,Measured,0,
4/10/2026,1768,6946,2286,12592,69,180,559,0,0,Measured,0,
4/11/2026,1766,6968,2490,17038,38,208,995,0,0,Measured,0,
4/12/2026,1768,6979,2734,28820,39,218,2238,0,0,Measured,0,
4/13/2026,2573,2029,2685,36774,66,196,2899,0,0,Measured,0,
4/14/2026,2367,2444,2406,38444,90,595,1958,0,0,Measured,0,
4/15/2026,2168,2868,2295,36672,122,997,1702,0,0,Measured,0,
4/16/2026,1596,2735,2272,33424,150,1394,1629,0,0,Measured,0,
4/17/2026,1388,2719,2073,30676,106,1265,1530,0,0,Measured,0,
4/18/2026,1199,2724,2149,28276,56,1010,1397,0,0,Measured,0,
4/19/2026,1180,2593,2488,26332,47,688,1289,0,0,Measured,0,
4/20/2026,2178,2528,2629,25236,34,391,1151,0,0,Measured,0,
4/21/2026,2560,2352,2882,26892,19,469,1283,0,0,Measured,0,
4/22/2026,2374,2821,3167,29648,44,381,2034,0,0,Measured,0,
4/23/2026,2962,2830,3230,32728,129,317,1577,0,0,Measured,0,
4/24/2026,2559,3194,3242,34176,176,347,1368,0,0,Measured,0,
4/25/2026,2362,3167,2986,31912,149,341,1281,0,0,Measured,0,
4/26/2026,2380,3282,3040,28940,141,339,1207,0,0,Measured,0,
4/27/2026,2369,3014,3090,26704,115,333,1241,0,0,Measured,0,
4/28/2026,2371,3325,2872,24640,87,328,1134,0,0,Measured,0,
4/29/2026,1974,3284,2926,22092,89,327,957,0,0,Measured,0,
4/30/2026,2174,3053,2946,20412,88,259,850,0,0,Measured,0,
5/1/2026,2362,3063,2683,18724,78,240,785,0,0,Measured,0,
5/2/2026,1766,3103,2421,17012,91,236,707,0,0,Measured,0,
5/3/2026,1373,2898,2262,15360,87,229,653,0,0,Measured,0,
5/4/2026,1190,2826,2150,12759,80,220,600,0,0,Forecasted,0,
5/5/2026,1190,2307,1988,12153,70,210,500,0,0,Forecasted,0,
5/6/2026,1190,3570,1831,11830,70,200,400,0,0,Forecasted,0,
5/7/2026,1190,2231,1754,11428,70,200,400,0,0,Forecasted,0,
5/8/2026,1190,2158,1720,11403,70,200,400,0,0,Forecasted,0,
5/9/2026,1190,2009,1600,11459,70,200,400,0,0,Forecasted,0,
5/10/2026,1190,1785,1500,11516,70,200,400,0,0,Forecasted,0,
5/11/2026,1190,1785,1400,11616,70,200,400,0,0,Forecasted,0,
5/12/2026,1190,1785,1400,11585,70,200,400,0,0,Forecasted,0,
5/13/2026,1190,1785,1550,11537,70,200,400,0,0,Forecasted,0,
5/14/2026,1190,3570,1700,11000,70,200,400,0,0,Forecasted,0,
5/15/2026,1190,3570,1850,10000,70,200,400,0,0,Forecasted,0,
5/16/2026,1190,3570,2000,10000,70,200,400,0,0,Forecasted,0,
5/17/2026,1190,3570,2000,10000,70,200,400,0,0,Forecasted,0,
5/18/2026,1190,3570,2000,10000,70,200,400,0,0,Forecasted,0,
5/19/2026,1190,3570,2000,10000,70,200,400,0,0,Forecasted,0,
5/20/2026,1190,3570,2000,10000,70,200,400,0,0,Forecasted,0,
5/21/2026,1190,3570,2000,10000,70,200,400,0,0,Forecasted,0,
5/22/2026,1190,3570,2000,10000,70,200,400,0,0,Forecasted,0,
5/23/2026,1190,3570,2000,10000,70,200,400,0,0,Forecasted,1,
5/24/2026,1190,3570,2000,10000,70,200,400,0,0,Forecasted,1,
5/25/2026,1190,3570,2000,10000,70,200,400,0,0,Forecasted,0,
5/26/2026,1190,3570,2000,10000,70,200,400,0,0,Forecasted,0,
5/27/2026,1190,3570,2000,10000,70,200,400,0,0,Forecasted,0,
