DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,UNNAMED: 10,UNNAMED: 11,14 DAYS OF FORECAST DATA AFTER FORECAST DATE
2026-04-03,1180,6972,2038,14064,74,189,425,0,0,Measured,,
2026-04-04,1190,6986,1974,13236,57,195,399,0,0,Measured,,
2026-04-05,1183,6973,1948,13036,49,194,373,0,0,Measured,,
2026-04-06,1184,6967,1848,12777,40,188,359,0,0,Measured,,
2026-04-07,1190,6980,1861,12424,40,199,354,0,0,Measured,,
2026-04-08,1185,6988,2095,12476,36,205,878,0,0,Measured,,
2026-04-09,1776,6829,2163,12985,28,177,1163,0,0,Measured,,
2026-04-10,1768,6955,2316,14567,28,187,1176,0,0,Measured,,
2026-04-11,1766,6954,2478,15390,29,180,900,0,0,Measured,,
2026-04-12,1768,6961,2564,15112,69,179,770,0,0,Measured,,
2026-04-13,2573,6970,2518,13246,96,159,689,0,0,Measured,,
2026-04-14,2367,6853,2317,12702,112,162,625,0,0,Measured,,
2026-04-15,2168,6809,2258,12170,110,163,574,0,0,Measured,,
2026-04-16,1596,6957,2233,11696,89,164,557,0,0,Measured,,
2026-04-17,1388,6946,2286,12592,69,180,559,0,0,Measured,,
2026-04-18,1199,6968,2490,17038,38,208,995,0,0,Measured,,
2026-04-19,1180,6979,2734,28820,39,218,2238,0,0,Measured,,
2026-04-20,2178,2029,2685,36774,66,196,2899,0,0,Measured,,
2026-04-21,2560,2444,2406,38444,90,595,1958,0,0,Measured,,
2026-04-22,2374,2868,2295,36672,122,997,1702,0,0,Measured,,
2026-04-23,2962,2735,2272,33424,150,1394,1629,0,0,Measured,,
2026-04-24,2559,2719,2073,30676,106,1265,1530,0,0,Measured,,
2026-04-25,2362,2724,2149,28276,56,1010,1397,0,0,Measured,,
2026-04-26,2380,2593,2488,26332,47,688,1289,0,0,Measured,,
2026-04-27,2369,2528,2629,25236,34,391,1151,0,0,Measured,,
2026-04-28,2371,2352,2882,26892,19,469,1283,0,0,Measured,,
2026-04-29,1974,2821,3167,29648,44,381,2034,0,0,Measured,,
2026-04-30,2174,2830,3230,32728,129,317,1577,0,0,Measured,,
2026-05-01,2362,3194,3242,34176,176,347,1368,0,0,Measured,,
2026-05-02,1766,3167,2986,31912,149,341,1281,0,0,Measured,,
2026-05-03,1373,3282,3040,28940,141,339,1207,0,0,Measured,,
2026-05-04,1190,2826,3193,26651,120,330,1195,0,0,Forecasted,,
2026-05-05,1190,2307,3034,25041,120,330,1043,0,0,Forecasted,,
2026-05-06,1190,3570,2753,22715,120,330,930,0,0,Forecasted,,
2026-05-07,1190,2231,2686,21723,120,330,832,0,0,Forecasted,,
2026-05-08,1190,2158,2905,20884,120,330,734,0,0,Forecasted,,
2026-05-09,1190,2009,3100,20063,120,330,620,0,0,Forecasted,,
2026-05-10,1190,1785,2900,19355,120,330,510,0,0,Forecasted,,
2026-05-11,1190,1785,2600,18908,120,330,400,0,0,Forecasted,,
2026-05-12,1190,1785,2300,18526,120,330,400,0,0,Forecasted,,
2026-05-13,1190,1785,2100,18194,120,330,400,0,0,Forecasted,,
2026-05-14,1190,6347,2000,15000,120,330,400,0,0,Forecasted,,
2026-05-15,1190,6347,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-16,1190,6347,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-17,1190,6347,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-18,1190,6347,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-19,1190,6347,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-20,1190,6347,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-21,1190,6347,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-22,1190,6347,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-23,1190,6347,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-24,1190,6347,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-25,1190,6347,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-26,1190,6347,2000,13000,120,330,400,0,0,Forecasted,,
2026-05-27,1190,6347,2000,13000,120,330,400,0,0,Forecasted,,
