DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,data type,DCC,14 DAYS OF FORECAST DATA AFTER FORECAST DATE
5/15/2026,1176,6763,1856,10944,170,1222,305,0,0,Measured,0,
5/16/2026,1171,6780,2150,10680,182,976,284,0,0,Measured,0,
5/17/2026,1183,6807,2407,10990,171,654,264,0,0,Measured,0,
5/18/2026,1183,7063,2465,10516,168,600,253,0,0,Measured,0,
5/19/2026,1174,8522,2327,9963,162,581,238,0,0,Measured,0,
5/20/2026,1175,8246,2308,8906,175,573,222,0,0,Measured,0,
5/21/2026,1176,3970,2295,7489,197,571,210,0,0,Measured,0,
5/22/2026,1182,5362,2076,6802,207,559,198,0,0,Measured,0,
5/23/2026,1171,1789,2174,7065,196,560,187,0,0,Measured,0,
5/24/2026,1186,1776,2257,7038,142,579,181,0,0,Measured,0,
5/25/2026,1182,1773,2145,7308,174,571,171,0,0,Measured,0,
5/26/2026,1184,1773,1939,8844,184,574,166,0,0,Measured,0,
5/27/2026,1179,1771,1777,9565,209,568,174,0,0,Measured,0,
5/28/2026,1175,1772,1745,10544,198,580,184,0,0,Measured,0,
5/29/2026,1175,1771,1903,11548,172,582,188,0,0,Measured,0,
5/30/2026,1174,3621,1942,13134,165,581,187,0,0,Measured,0,
5/31/2026,1173,3656,2010,14188,183,577,175,0,0,Measured,0,
6/1/2026,4958,3689,2063,14874,189,572,161,0,0,Measured,0,
6/2/2026,5940,3689,1893,14742,195,563,148,0,0,Measured,0,
6/3/2026,3948,5588,1946,14173,206,554,137,0,0,Measured,0,
6/4/2026,3559,5578,1911,13506,215,542,129,0,0,Measured,0,
6/5/2026,3570,5575,1871,13019,220,517,122,0,0,Measured,0,
6/6/2026,2968,5568,1859,12736,229,376,117,0,0,Measured,0,
6/7/2026,1972,5542,1629,12553,211,377,112,0,0,Measured,0,
6/8/2026,977,5535,1590,12049,184,387,109,0,0,Measured,0,
6/9/2026,979,5537,1492,12530,186,586,110,0,0,Measured,0,
6/10/2026,990,5549,1648,12284,223,781,105,0,0,Measured,0,
6/11/2026,1002,5566,1669,12079,243,958,102,0,0,Measured,0,
6/12/2026,972,5578,1723,12236,251,752,98,0,0,Measured,0,
6/13/2026,989,5577,1698,12358,235,497,92,0,0,Measured,0,
6/14/2026,979,5585,1407,12045,222,301,88,0,0,Measured,0,
6/15/2026,3570,3570,1247,12037,220,300,80,0,0,Forecasted,0,
6/16/2026,3372,3570,1356,12265,220,300,80,0,0,Forecasted,0,
6/17/2026,3372,3570,1556,12134,220,300,80,0,0,Forecasted,0,
6/18/2026,3570,3570,1762,12000,220,300,80,0,0,Forecasted,0,
6/19/2026,3769,3570,1783,12050,220,300,80,0,0,Forecasted,0,
6/20/2026,3769,3570,1425,12108,220,300,80,0,0,Forecasted,0,
6/21/2026,3372,3570,1253,12114,220,300,80,0,0,Forecasted,0,
6/22/2026,3174,3570,1345,12049,220,300,80,0,0,Forecasted,0,
6/23/2026,3174,3570,1345,11989,220,300,80,0,0,Forecasted,0,
6/24/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,0,
6/25/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,0,
6/26/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,1,
6/27/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,1,
6/28/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,1,
6/29/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,1,
6/30/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,1,
7/1/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,1,
7/2/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,1,
7/3/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,1,
7/4/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,1,
7/5/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,1,
7/6/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,1,
7/7/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,1,
7/8/2026,3174,3570,1345,11950,220,300,80,0,0,Forecasted,1,
