Week,OMR Bins,CVP Exports (cfs),SWP Exports (cfs),Total Exports (cfs),CVP Exports (%),SWP Exports (%)
Week 1,"-5,000","2,662","2,504","5,166",52%,48%
Week 1,"-3,500","1,803","1,760","3,563",51%,49%
Week 1,"-2,000",902,973,"1,875",48%,52%
Week 2,"-5,000","2,805","2,261","5,066",55%,45%
Week 2,"-3,500","1,803","1,603","3,406",53%,47%
Week 2,"-2,000",902,859,"1,761",51%,49%
Week 3,"-5,000","2,805","2,204","5,009",56%,44%
Week 3,"-3,500","1,803","1,603","3,406",53%,47%
Week 3,"-2,000",902,802,"1,704",53%,47%
