Forecast start date,,,VNS-QR,FPT-QR,,,,,,data type,,Data request:
1/5/2026,af,af,cfs,cfs,cfs,cfs,cfs,cfs,cfs,,,31 days of historical measured data prior to forecast date 
DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,,,14 days of forecast data after forecast date
12/5/2025,3964,1807,1210,11078,21,278,61,0,0,Measured,,
12/6/2025,3964,1844,1190,10520,24,279,60,0,0,Measured,,
12/7/2025,3942,1929,1170,10610,24,277,60,0,0,Measured,,
12/8/2025,3961,1927,1165,10336,24,279,62,0,0,Measured,,
12/9/2025,3910,1927,1228,10524,24,281,61,0,0,Measured,,
12/10/2025,3961,1893,1250,10464,24,292,60,0,0,Measured,,
12/11/2025,3929,1915,1235,10393,24,280,60,0,0,Measured,,
12/12/2025,3952,1915,1161,10195,24,284,59,0,0,Measured,,
12/13/2025,3956,1919,1133,9935,24,312,59,0,0,Measured,,
12/14/2025,3963,1922,1125,9724,24,319,58,0,0,Measured,,
12/15/2025,3960,1829,1121,9847,24,290,57,0,0,Measured,,
12/16/2025,3172,1922,1096,10204,24,269,57,0,0,Measured,,
12/17/2025,3147,1924,1071,10492,24,280,59,0,0,Measured,,
12/18/2025,3965,1927,1092,10806,24,284,68,0,0,Measured,,
12/19/2025,5931,1949,1747,11679,91,281,90,0,0,Measured,,
12/20/2025,10880,5275,3558,13236,150,281,96,0,0,Measured,,
12/21/2025,12873,6992,4848,18038,150,283,166,0,0,Measured,,
12/22/2025,10892,7004,5822,20977,150,304,539,0,0,Measured,,
12/23/2025,14865,8224,6068,33157,151,281,1043,0,0,Measured,,
12/24/2025,7326,8072,5780,47908,153,332,2010,0,0,Measured,,
12/25/2025,3750,8097,5256,57117,147,365,4172,0,0,Measured,,
12/26/2025,8121,7031,4453,65265,197,319,2982,0,9183,Measured,,
12/27/2025,7302,6976,4074,69619,245,677,1901,0,37180,Measured,,
12/28/2025,7119,6996,3487,69585,241,757,1213,0,39848,Measured,,
12/29/2025,3951,6991,2587,68553,246,767,897,0,30134,Measured,,
12/30/2025,3569,7014,2152,64801,240,791,713,0,10944,Measured,,
12/31/2025,3360,7043,1934,61200,252,1049,598,0,165,Measured,,
1/1/2026,3355,7087,1874,56858,250,1150,1049,0,0,Measured,,
1/2/2026,3355,7016,1928,53809,314,1133,2012,0,0,Measured,,
1/3/2026,3168,5389,2495,55873,414,1153,3166,0,0,Measured,,
1/4/2026,7135,5338,2583,67019,437,1345,6278,0,13916,Measured,,
1/5/2026,4165,6942,3278,75792,437,1345,5051,0,13916,Forecasted,,
1/6/2026,4760,6942,5826,75535,400,1100,2877,0,13916,Forecasted,,
1/7/2026,5951,6942,4254,74943,300,1000,2131,0,13916,Forecasted,,
1/8/2026,4165,6942,3382,74302,250,800,1625,0,13916,Forecasted,,
1/9/2026,4959,5355,3043,73450,250,700,1322,0,13916,Forecasted,,
1/10/2026,4562,5355,2500,72041,250,500,1000,0,13916,Forecasted,,
1/11/2026,4165,5355,2000,70572,250,300,700,0,13916,Forecasted,,
1/12/2026,3570,5355,2000,69004,250,300,500,0,13916,Forecasted,,
1/13/2026,3570,5355,2000,66245,250,300,500,0,13916,Forecasted,,
1/14/2026,3570,5355,2000,62756,250,300,500,0,13916,Forecasted,,
1/15/2026,3570,5355,2000,62756,250,300,500,0,13916,Forecasted,,
1/16/2026,3570,5355,2000,62756,250,300,500,0,13916,Forecasted,,
1/17/2026,3570,5355,2000,62756,250,300,500,0,13916,Forecasted,,
1/18/2026,3570,5355,2000,62756,250,300,500,0,13916,Forecasted,,
1/19/2026,3570,5355,2000,62756,250,300,500,0,13916,Forecasted,,
1/20/2026,3570,5355,2000,62756,250,300,500,0,13916,Forecasted,,
