DATE,CCF,TPP,VNS,FPT,CAL,MOKE,COS,SACWEIR,FREWEIR,data type,DCC,14 DAYS OF FORECAST DATA AFTER FORECAST DATE
3/20/2026,6130,8314,3852,21624,63,210,607,0,0,Measured,0,
3/21/2026,5729,8362,3562,20584,66,205,563,0,0,Measured,0,
3/22/2026,5351,8380,3325,19808,62,202,553,0,0,Measured,0,
3/23/2026,4954,8381,3057,19100,66,199,534,0,0,Measured,0,
3/24/2026,6346,6929,2683,18400,61,182,500,0,0,Measured,0,
3/25/2026,5750,6975,2398,17108,40,193,471,0,0,Measured,0,
3/26/2026,5542,6991,2186,15672,53,197,452,0,0,Measured,0,
3/27/2026,5152,6972,2038,14064,74,189,425,0,0,Measured,0,
3/28/2026,4938,6986,1974,13236,57,195,399,0,0,Measured,0,
3/29/2026,4730,6973,1948,13036,49,194,373,0,0,Measured,0,
3/30/2026,4712,6967,1848,12777,40,188,359,0,0,Measured,0,
3/31/2026,4732,6980,1861,12424,40,199,354,0,0,Measured,0,
4/1/2026,1190,6988,2095,12476,36,205,878,0,0,Measured,0,
4/2/2026,1183,6829,2163,12985,28,177,1163,0,0,Measured,0,
4/3/2026,1180,6955,2316,14567,28,187,1176,0,0,Measured,0,
4/4/2026,1190,6954,2478,15390,29,180,900,0,0,Measured,0,
4/5/2026,1183,6961,2564,15112,69,179,770,0,0,Measured,0,
4/6/2026,1184,6970,2518,13246,96,159,689,0,0,Measured,0,
4/7/2026,1190,6853,2317,12702,112,162,625,0,0,Measured,0,
4/8/2026,1185,6809,2258,12170,110,163,574,0,0,Measured,0,
4/9/2026,1776,6957,2233,11696,89,164,557,0,0,Measured,0,
4/10/2026,1768,6946,2286,12592,69,180,559,0,0,Measured,0,
4/11/2026,1766,6968,2490,17038,38,208,995,0,0,Measured,0,
4/12/2026,1768,6979,2734,28820,39,218,2238,0,0,Measured,0,
4/13/2026,2573,2029,2685,36774,66,196,2899,0,0,Measured,0,
4/14/2026,2367,2444,2406,38444,90,595,1958,0,0,Measured,0,
4/15/2026,2168,2868,2295,36672,122,997,1702,0,0,Measured,0,
4/16/2026,1596,2735,2272,33424,150,1394,1629,0,0,Measured,0,
4/17/2026,1388,2719,2073,30676,106,1265,1530,0,0,Measured,0,
4/18/2026,1199,2724,2149,28276,56,1010,1397,0,0,Measured,0,
4/19/2026,1180,2593,2488,26332,47,688,1289,0,0,Measured,0,
4/20/2026,2182,2529,2662,26058,47,500,1121,0,0,Forecasted,0,
4/21/2026,2579,2380,2862,25773,47,400,1078,0,0,Forecasted,0,
4/22/2026,2182,2902,3069,28081,47,300,4260,0,0,Forecasted,0,
4/23/2026,2579,3273,3166,33046,47,200,2555,0,0,Forecasted,0,
4/24/2026,3174,3422,3104,34896,47,200,1996,0,0,Forecasted,0,
4/25/2026,2579,3422,2900,32030,47,200,1650,0,0,Forecasted,0,
4/26/2026,2380,3422,2700,27818,47,200,1400,0,0,Forecasted,0,
4/27/2026,1984,3273,2500,25315,47,200,1000,0,0,Forecasted,0,
4/28/2026,1984,2876,2300,23887,47,200,800,0,0,Forecasted,0,
4/29/2026,1984,2380,2100,22879,47,200,800,0,0,Forecasted,0,
4/30/2026,1984,1984,2000,22000,47,200,800,0,0,Forecasted,0,
5/1/2026,1785,1785,2000,20000,47,200,800,0,0,Forecasted,0,
5/2/2026,1785,1785,2000,18000,47,200,800,0,0,Forecasted,0,
5/3/2026,1785,1785,2000,16000,47,200,800,0,0,Forecasted,0,
5/4/2026,1785,1785,2000,16000,47,200,800,0,0,Forecasted,0,
5/5/2026,1785,1785,2000,16000,47,200,800,0,0,Forecasted,0,
5/6/2026,1785,1785,2000,16000,47,200,800,0,0,Forecasted,0,
5/7/2026,1785,1785,2000,16000,47,200,800,0,0,Forecasted,0,
5/8/2026,1785,1785,2000,16000,47,200,800,0,0,Forecasted,0,
5/9/2026,1785,1785,2000,16000,47,200,800,0,0,Forecasted,0,
5/10/2026,1785,1785,2000,16000,47,200,800,0,0,Forecasted,0,
5/11/2026,1785,1785,2000,16000,47,200,800,0,0,Forecasted,0,
5/12/2026,1785,1785,2000,16000,47,200,800,0,0,Forecasted,0,
5/13/2026,1785,1785,2000,16000,47,200,800,0,0,Forecasted,0,
