Forecast Week,Sacramento River at Freeport (cfs),Sac Flow Bin,San Joaquin River at Vernalis (cfs),SJR Flow Bin,Delta Inflow Bin
Week 1 (04/21/2026 - 04/27/2026),"29,566",hi,"2,900",med,himed
Week 2 (04/28/2026 - 05/04/2026),"19,824",med,"2,057",med,medmed
Week 3 (05/05/2026 - 05/11/2026),"16,000",med,"2,000",med,medmed
