DSM2_Node,entrainment
323,1.12284159
322,1.074460338
321,0.335038466
281,5.639516066
314,0
272,8.444923757
307,1.423531391
261,5.543913591
258,3.833815146
249,16.69821397
240,2.326696344
232,23.81071412
174,99.94037731
145,95.35701066
113,100
469,1.870796982
465,0
461,0.550657988
99,45.33512037
86,95.19229151
75,100
428,0
420,0.075211679
41,6.922204376
39,9.960255182
34,20.51711804
359,0
354,0
353,0.61429837
351,1.421571738
350,1.49917913
25,43.51337472
21,20.56443766
7,78.00745469
344,2.269950612
1,73.26678566
339,3.922706496
330,3.458769517
291,9.800437534
